	res_simple	time_simple	res_fixed	time_fixed	res_adaptive	time_adaptive
0	(1.0273529978995466-0.02638947515279981j)	0.003843069076538086	(1.0271924056586437-0.02844191553753008j)	0.08268189430236816	(1.0825975688154919-0.05983745522452089j)	0.3144400119781494
1	(1.2907393618991951-0.2939082923337498j)	0.004904270172119141	(1.290596453802277-0.29401545054713074j)	0.08029890060424805	(1.2905428617191443-0.2938315072234199j)	0.27401185035705566
2	(1.422866868716379-0.414570079710615j)	0.0022869110107421875	(1.4229003820524555-0.41443683005122933j)	0.08623814582824707	(1.4249053186058678-0.41149405490711116j)	0.2750988006591797
3	(1.5335378919328155-0.5027231721139004j)	0.0019078254699707031	(1.5334328478216472-0.5027585614819092j)	0.08029603958129883	(1.5329897703916444-0.5028151639557348j)	0.3352169990539551
4	(1.6343563588238514-0.5722416183357938j)	0.005074024200439453	(1.6343744499399404-0.5722997035300038j)	0.10979890823364258	(1.6323745186521395-0.5709196998470795j)	0.353212833404541
5	(1.729852164464193-0.6282964806118861j)	0.006016969680786133	(1.7298551129834754-0.6282712501034258j)	0.13471317291259766	(1.7300171490711909-0.6289843595177264j)	0.2849118709564209
6	(1.8218454041393208-0.6733121760684494j)	0.0035147666931152344	(1.8217513161636953-0.6733052392167692j)	0.07524895668029785	(1.8207831603255433-0.6749117572514105j)	0.2726290225982666
7	(1.9112894704073082-0.708892242745716j)	0.0031261444091796875	(1.9111540089828365-0.7089999686498427j)	0.07606339454650879	(1.9120636076786846-0.7087452994909492j)	0.3378467559814453
8	(1.9986842510234317-0.7361510034381908j)	0.002824068069458008	(1.998603532021686-0.7363887463741776j)	0.07886004447937012	(1.9999358820112905-0.737081094296602j)	0.2646670341491699
9	(2.084350729790017-0.755846369735247j)	0.002505779266357422	(2.08439521327005-0.7561648094192199j)	0.07988309860229492	(2.0840786128913704-0.7551268063204029j)	0.3274807929992676
10	(2.1684438963045203-0.7684863436367761j)	0.0029621124267578125	(2.1686380490386763-0.7688170711647944j)	0.07745099067687988	(2.1691314771351617-0.7677257680589902j)	0.28389716148376465
11	(2.2509782846774784-0.7744442450329689j)	0.0038738250732421875	(2.251310024114213-0.7747250125554224j)	0.08125090599060059	(2.2510715983138905-0.775908912288272j)	0.2847611904144287
12	(2.331848569034248-0.7740643340526991j)	0.0027379989624023438	(2.332283919244959-0.7742514329243001j)	0.07735705375671387	(2.33146083093509-0.7738740684530601j)	0.2743558883666992
13	(2.4110152984443878-0.7674998703931749j)	0.0020248889923095703	(2.411509569111779-0.7675843300895078j)	0.07941293716430664	(2.4119620352551854-0.7686998767477532j)	0.26362013816833496
14	(2.4882539166225843-0.7551274099910521j)	0.0034990310668945312	(2.488772132546928-0.7551061182890233j)	0.07760405540466309	(2.4885368999957005-0.7556930656808529j)	0.2677879333496094
15	(2.563365594769574-0.7370492808162534j)	0.005420207977294922	(2.5638803183697694-0.7369455677356473j)	0.07316780090332031	(2.5649729569740742-0.7364171123904739j)	0.26663804054260254
16	(2.6361798751230414-0.7135226151521623j)	0.002434968948364258	(2.6366803148093823-0.7133565246614307j)	0.07770919799804688	(2.636841537443887-0.7134834393474305j)	0.26546812057495117
17	(2.7064322480630754-0.6847369606548779j)	0.0032851696014404297	(2.706912121633216-0.6845313047417374j)	0.0774240493774414	(2.7063379967150034-0.6834652033225662j)	0.26476216316223145
18	(2.773929147179914-0.6508886531621547j)	0.0020809173583984375	(2.7744004222521874-0.6506660479040195j)	0.07604312896728516	(2.7744192558140424-0.6504979756735452j)	0.26398801803588867
