	res_adaptive	time_adaptive	w
0	(1.056371346141712-0.05047207480977188j)	0.411700963973999	0.001
1	(1.2877298590871742-0.25746230587645696j)	0.2938120365142822	0.09633
2	(1.4155786048198353-0.3413307452176924j)	0.29308581352233887	0.19166
3	(1.5202186584383401-0.3954275008037855j)	0.2968919277191162	0.28698
4	(1.607197696006358-0.42756841807359725j)	0.3058490753173828	0.38231
5	(1.7001868600174488-0.4451946909856099j)	0.31192922592163086	0.47764
6	(1.7791073735265237-0.452209541293765j)	0.30226683616638184	0.57297
7	(1.8522072273374635-0.450305525780585j)	0.2957308292388916	0.6683
8	(1.9201271075242903-0.4420108019554635j)	0.29732418060302734	0.76362
9	(1.983608540766153-0.42547999144698534j)	0.2931520938873291	0.85895
10	(2.0419664751162685-0.40299700411734785j)	0.2918720245361328	0.95428
11	(2.095253911126439-0.3753976480768715j)	0.30124497413635254	1.04961
12	(2.1435383945115354-0.3434042466599059j)	0.3039431571960449	1.14494
13	(2.1872769702748287-0.3082268938196537j)	0.32519006729125977	1.24026
14	(2.2260809936418506-0.26869270638875226j)	0.3189356327056885	1.33559
15	(2.2597311342442405-0.2262763421123435j)	0.3048372268676758	1.43092
16	(2.2882530928137754-0.18156383284377525j)	0.29926609992980957	1.52625
17	(2.311951322124632-0.135654123950728j)	0.313892126083374	1.62157
18	(2.3308785202465874-0.08754210989688266j)	0.3301990032196045	1.7169
19	(2.344730029815392-0.038380348736342995j)	0.34612512588500977	1.81223
20	(2.353575748578286+0.011315934551355156j)	0.3262672424316406	1.90756
21	(2.357551425402173+0.06106563322409919j)	0.2939631938934326	2.00289
22	(2.3573726860628996+0.11006652997490629j)	0.2971808910369873	2.09821
23	(2.3524372256719897+0.15908329639503166j)	0.2993459701538086	2.19354
24	(2.3429820878742786+0.20712381720323342j)	0.32064008712768555	2.28887
25	(2.3292045661462595+0.2537708323647593j)	0.30724000930786133	2.3842
26	(2.3113563494858878+0.2986516081567568j)	0.2956569194793701	2.47953
27	(2.2904660801418957+0.341210184663976j)	0.29544782638549805	2.57485
