	res_adaptive	time_adaptive	w
0	(1.030056571091183-0.035419907363800754j)	0.37428808212280273	0.001
1	(1.2301914341524725-0.029588082606141153j)	0.3110830783843994	0.09633
2	(1.2236070109206267+0.04615659912111503j)	0.30179786682128906	0.19166
3	(1.1701658945864022+0.07450287542286349j)	0.31827497482299805	0.28698
4	(1.123033142012056+0.05328725842329761j)	0.3139841556549072	0.38231
5	(1.1086586595244512+0.013611281247762452j)	0.34398508071899414	0.47764
6	(1.1224935859854641-0.018511885574694187j)	0.3526630401611328	0.57297
7	(1.1502092441873315-0.029277186462608462j)	0.3256537914276123	0.6683
8	(1.1724241790545886-0.019055169303279273j)	0.322005033493042	0.76362
9	(1.1796679682609634-0.0005321801439478469j)	0.3482182025909424	0.85895
10	(1.1723988030192183+0.01572840041522483j)	0.3623330593109131	0.95428
11	(1.1580324986822714+0.02067590553003252j)	0.3106238842010498	1.04961
12	(1.1467015108665575+0.015609015817384997j)	0.3197460174560547	1.14494
13	(1.142051829268688+0.004942088160494795j)	0.33582186698913574	1.24026
14	(1.1458193717236618-0.004107554774392286j)	0.29860997200012207	1.33559
15	(1.1529756868470158-0.0073323673689952296j)	0.3054640293121338	1.43092
16	(1.1598142496978845-0.0055081079008522105j)	0.30115509033203125	1.52625
17	(1.1627079865288525-8.567661758251965e-05j)	0.2967209815979004	1.62157
18	(1.16115711691743+0.004638787393426547j)	0.3068850040435791	1.7169
19	(1.1575275595849452+0.00722219780959249j)	0.29595398902893066	1.81223
20	(1.1533994113494614+0.006291678400068723j)	0.30977582931518555	1.90756
21	(1.1519108216358072+0.0031903316303600326j)	0.3012428283691406	2.00289
22	(1.1519806648568658+0.0002719055102821527j)	0.3004159927368164	2.09821
23	(1.1543243842258253-0.0015011941429209918j)	0.31165313720703125	2.19354
24	(1.1566265743572497-0.0009285332146888869j)	0.302034854888916	2.28887
25	(1.1578042096978787+0.0002340545023504781j)	0.3271169662475586	2.3842
26	(1.1580626083532939+0.001923025163938108j)	0.3228108882904053	2.47953
27	(1.156475728262433+0.0028699555756829254j)	0.31047797203063965	2.57485
28	(1.155516001578274+0.002759985866092274j)	0.37073802947998047	2.67018
29	(1.1546261431092515+0.0021612094246207247j)	0.3236379623413086	2.76551
30	(1.154720758215884+0.0008106618027716173j)	0.30284810066223145	2.86084
31	(1.1553417829321095+0.0003190438250572081j)	0.33761119842529297	2.95617
32	(1.1558657937998684+0.0001211248345875382j)	0.315382719039917	3.05149
33	(1.1565981930774838+0.0006379640982612962j)	0.30243897438049316	3.14682
34	(1.1564569518357022+0.000988608792418022j)	0.30722522735595703	3.24215
35	(1.1564181952321568+0.001207101724466586j)	0.31310224533081055	3.33748
36	(1.1557899211821272+0.0014441872407134348j)	0.33123302459716797	3.43281
37	(1.155679785901143+0.0011547503663475178j)	0.31147289276123047	3.52813
38	(1.1555064595424958+0.0009929259096999044j)	0.2988162040710449	3.62346
39	(1.1554998316929814+0.00042304733335241096j)	0.30834388732910156	3.71879
40	(1.1558601360051957+0.00043693827284110864j)	0.300678014755249	3.81412
41	(1.155737518615943+0.0005257885842467891j)	0.3097198009490967	3.90945
42	(1.1562289711035043+0.000654512847270583j)	0.303847074508667	4.00477
43	(1.1558905358628122+0.0008320153617439319j)	0.29691481590270996	4.1001
