	res_adaptive	time_adaptive	w
0	(1.0612924334203409-0.014298066453424357j)	0.428325891494751	0.001
1	(1.2662379905789567-0.3366377391443232j)	0.5221576690673828	0.09633
2	(1.3497761240401047-0.5128606893559684j)	0.4119558334350586	0.19166
3	(1.3990402200803846-0.6672894353906045j)	0.4417707920074463	0.28698
4	(1.422161695245432-0.803700175363824j)	0.32120203971862793	0.38231
5	(1.4265197527022466-0.9341091417452505j)	0.32828783988952637	0.47764
6	(1.4146170910405855-1.055053252535722j)	0.3259758949279785	0.57297
7	(1.3852850984481144-1.1655000889884903j)	0.30499911308288574	0.6683
8	(1.3450395995669728-1.2694893241577208j)	0.3751389980316162	0.76362
9	(1.2920926790911405-1.3629333685867195j)	0.30785417556762695	0.85895
10	(1.2280981176406194-1.4505522204573562j)	0.3504798412322998	0.95428
11	(1.154136633871004-1.5274184848262486j)	0.35105419158935547	1.04961
12	(1.0700455782740352-1.5936679840526313j)	0.3269779682159424	1.14494
13	(0.9795955891294318-1.6517432330987907j)	0.3226010799407959	1.24026
14	(0.8812511634013339-1.6988981354554227j)	0.3741729259490967	1.33559
15	(0.7763281255134462-1.7374895469925082j)	0.33275508880615234	1.43092
16	(0.6665479950786053-1.7634323216649683j)	0.31890010833740234	1.52625
17	(0.5517355199850683-1.7795425605135793j)	0.33625316619873047	1.62157
18	(0.43542205194378697-1.7840525419564721j)	0.31464385986328125	1.7169
19	(0.31525703565376784-1.7784473754102708j)	0.33245062828063965	1.81223
20	(0.19358545804924499-1.7626741306261102j)	0.3341240882873535	1.90756
21	(0.07227063839883585-1.7342968335960816j)	0.3046987056732178	2.00289
22	(-0.049309918680021325-1.6966666999998865j)	0.35139036178588867	2.09821
23	(-0.1680520242295902-1.6481135079236737j)	0.3740370273590088	2.19354
24	(-0.28628517765318173-1.5899436869921209j)	0.3338761329650879	2.28887
25	(-0.400742808261107-1.52204864739252j)	0.3870429992675781	2.3842
26	(-0.5103205235768488-1.4436574530047301j)	0.35365891456604004	2.47953
27	(-0.6408707678260162-1.3798417959743878j)	0.30402112007141113	2.57485
28	(-0.715097233638641-1.2631442960269315j)	0.3129298686981201	2.67018
29	(-0.8095077716822423-1.1608089095049325j)	0.2993919849395752	2.76551
30	(-0.8956689161701523-1.0513200976218842j)	0.3114011287689209	2.86084
31	(-0.9738342781501451-0.9349260547311871j)	0.36428093910217285	2.95617
32	(-1.0446196460150987-0.8139715874498419j)	0.31226015090942383	3.05149
33	(-1.106513079147769-0.6874416338846856j)	0.3049049377441406	3.14682
34	(-1.16020571442947-0.5567008515136834j)	0.43242597579956055	3.24215
35	(-1.202662549954661-0.423056080168594j)	0.485339879989624	3.33748
36	(-1.236227905806134-0.28649789054706304j)	0.3485910892486572	3.43281
37	(-1.2599949798687713-0.14930427112910594j)	0.33971405029296875	3.52813
38	(-1.2737457600079476-0.01044464019127389j)	0.401839017868042	3.62346
39	(-1.2774866346843485+0.1280374867341415j)	0.34996771812438965	3.71879
40	(-1.2697417804298323+0.26492017818290337j)	0.33051085472106934	3.81412
41	(-1.2527805555652936+0.40018255759812915j)	0.3242530822753906	3.90945
42	(-1.2260892043347547+0.5321690480465255j)	0.3772239685058594	4.00477
43	(-1.1890728295791015+0.661355355812332j)	0.378248929977417	4.1001
44	(-1.1407361417214095+0.7846814281901031j)	0.34072279930114746	4.19543
45	(-1.086782364866519+0.903584249163613j)	0.36426711082458496	4.29076
46	(-1.0225015915432125+1.0167516645220704j)	0.38367509841918945	4.38608
47	(-0.9497798391950674+1.1224898562201953j)	0.35601210594177246	4.48141
48	(-0.8693703160944148+1.2218026608536088j)	0.3489081859588623	4.57674
49	(-0.781657685423323+1.3118794277219026j)	0.33973097801208496	4.67207
50	(-0.6871428396836651+1.3932929113791328j)	0.4481949806213379	4.7674
51	(-0.5876026888510233+1.4659618466201376j)	0.5808560848236084	4.86272
52	(-0.4822523765846541+1.5290810763419294j)	0.551821231842041	4.95805
53	(-0.37255460457968703+1.5826413085180888j)	0.5255920886993408	5.05338
54	(-0.2594115597092016+1.6246267221606583j)	0.34972596168518066	5.14871
55	(-0.14396023624196616+1.6566430092739082j)	0.3642139434814453	5.24404
56	(-0.02596291142730489+1.6778639666410071j)	0.3249540328979492	5.33936
57	(0.0934578889602855+1.6885243204475335j)	0.44594502449035645	5.43469
58	(0.21278931121016065+1.688181806972991j)	0.4261329174041748	5.53002
59	(0.33118573775798393+1.6760107548881908j)	0.36496877670288086	5.62535
60	(0.44841721030655735+1.653998617392335j)	0.31823277473449707	5.72068
61	(0.5628671194519268+1.6210383493342289j)	0.4128577709197998	5.816
62	(0.6752131204648705+1.5779599339418255j)	0.4074423313140869	5.91133
63	(0.7827965150812125+1.5249065280308778j)	0.5000498294830322	6.00666
64	(0.8855699376385988+1.4609826711385923j)	0.376201868057251	6.10199
65	(0.9834023587840287+1.3891618026831445j)	0.3597080707550049	6.19732
66	(1.0745255617839777+1.3079639411747832j)	0.34524083137512207	6.29264
67	(1.1597265540748227+1.218766416085501j)	0.34949493408203125	6.38797
68	(1.236405299038611+1.121856504823791j)	0.3292868137359619	6.4833
69	(1.3053098613024372+1.017960126828457j)	0.29947495460510254	6.57863
70	(1.3663117632486255+0.9085634046245623j)	0.2947661876678467	6.67396
71	(1.4176852889322584+0.7930063937673173j)	0.31662511825561523	6.76928
72	(1.460289801774451+0.6729868194477107j)	0.3155379295349121	6.86461
73	(1.4921866699709423+0.5492341377033302j)	0.3330349922180176	6.95994
74	(1.5148408243812157+0.42244446231365557j)	0.3334782123565674	7.05527
75	(1.5272050995471202+0.2939660725196227j)	0.3387598991394043	7.15059
76	(1.5281949528563132+0.16265485616225278j)	0.3710908889770508	7.24592
77	(1.521602820861793+0.03292947167842153j)	0.36678504943847656	7.34125
78	(1.5025857444000152-0.09685168991906279j)	0.31473398208618164	7.43658
79	(1.4743231701495425-0.2254953485110277j)	0.30907583236694336	7.53191
80	(1.4355406202309546-0.3515049481189835j)	0.3616790771484375	7.62723
81	(1.3872831441178115-0.4752659028439027j)	0.50724196434021	7.72256
82	(1.3291964978904216-0.5942793380984767j)	0.39082813262939453	7.81789
83	(1.2617683035186933-0.7085797339692981j)	0.5577878952026367	7.91322
84	(1.1864902638561627-0.8178300669894724j)	0.41794490814208984	8.00855
85	(1.1023072647311225-0.9204049186370327j)	0.48410773277282715	8.10387
86	(1.010707836129631-1.0167414833886488j)	0.47208714485168457	8.1992
87	(0.9118908378739402-1.1045601661671534j)	0.43620800971984863	8.29453
88	(0.806700101214872-1.1846698444691748j)	0.46605515480041504	8.38986
89	(0.696320848147848-1.2565333443796414j)	0.9877979755401611	8.48519
90	(0.5802662546338582-1.3187541175629471j)	0.467487096786499	8.58051
91	(0.4602778204944744-1.3717944461437248j)	0.3255190849304199	8.67584
