	res_adaptive	time_adaptive	w
0	(1.0160282506476483-0.034954540129051866j)	0.357651948928833	0.001
1	(1.232178104040351-0.028841357762560138j)	0.3021688461303711	0.09633
2	(1.224688684004465+0.05112987358284804j)	0.29660487174987793	0.19166
3	(1.1656805250584328+0.08153037163681953j)	0.30390310287475586	0.28698
4	(1.1123044532646527+0.05640910174142459j)	0.29259419441223145	0.38231
5	(1.0966756139919516+0.008196289643338572j)	0.3083689212799072	0.47764
6	(1.116672713382201-0.03145070643489961j)	0.30332112312316895	0.57297
7	(1.1550294192125288-0.0430327297542242j)	0.29793787002563477	0.6683
8	(1.1858609161498688-0.025272358472492318j)	0.3049588203430176	0.76362
9	(1.1938779184619581+0.005263843707376092j)	0.306992769241333	0.85895
10	(1.1784358319650972+0.03094781709648442j)	0.3081200122833252	0.95428
11	(1.1513040466221744+0.03690364264317303j)	0.3128812313079834	1.04961
12	(1.1300087116502897+0.023465189107430062j)	0.33455991744995117	1.14494
13	(1.1240397323518407-0.00025803468118046347j)	0.32965922355651855	1.24026
14	(1.1360242966318272-0.019648699954110838j)	0.32158994674682617	1.33559
15	(1.1562922727142975-0.024550849808201325j)	0.3100287914276123	1.43092
16	(1.1736636928390567-0.014867641433724876j)	0.30199694633483887	1.52625
17	(1.1786736082098461+0.0034442338139333284j)	0.3789100646972656	1.62157
18	(1.1697534452459397+0.018814389208011956j)	0.4506380558013916	1.7169
19	(1.1536199748120333+0.02390630216552564j)	0.8914401531219482	1.81223
20	(1.1388792963956713+0.01622317255723793j)	0.9727187156677246	1.90756
21	(1.134473451770678+0.0010512273847075315j)	0.9940860271453857	2.00289
22	(1.1407010590929851-0.012352327341193545j)	1.0620830059051514	2.09821
23	(1.154545797343831-0.01739827905690544j)	0.9803812503814697	2.19354
24	(1.1670095692416023-0.011574829903778783j)	1.3515758514404297	2.28887
25	(1.1719641831853513+0.0008023062445098317j)	1.115379810333252	2.3842
26	(1.1673276092384208+0.012620093540515659j)	0.8701910972595215	2.47953
27	(1.1553965675301945+0.017459845189815137j)	0.329434871673584	2.57485
28	(1.144595684239447+0.013110282571847653j)	0.3208808898925781	2.67018
29	(1.1395528555362036+0.0026927360147096235j)	0.43837499618530273	2.76551
30	(1.1433344443915712-0.008320299683451882j)	0.5767068862915039	2.86084
31	(1.153133701044121-0.013112675227690773j)	0.8146131038665771	2.95617
32	(1.163024298565961-0.010116597689742102j)	0.8731350898742676	3.05149
33	(1.1682392201594076-0.0010328617104417813j)	0.7580862045288086	3.14682
34	(1.1654204703425248+0.008430038144001784j)	1.0108177661895752	3.24215
35	(1.156896040430928+0.013625695452791131j)	0.9564220905303955	3.33748
36	(1.1479278910315585+0.011314644936620821j)	0.33109092712402344	3.43281
37	(1.1436152021667856+0.0035983920086601617j)	0.2861940860748291	3.52813
38	(1.144662184360557-0.00514529957862031j)	0.4541819095611572	3.62346
39	(1.151608158651922-0.010522806059055534j)	0.317288875579834	3.71879
40	(1.1601865214884444-0.009199642401950717j)	0.3424839973449707	3.81412
41	(1.1650347444993356-0.0027833781116668455j)	0.32735395431518555	3.90945
42	(1.1645157673225874+0.005418419580048073j)	0.4154970645904541	4.00477
43	(1.1581541909765143+0.0105915341819936j)	0.30819082260131836	4.1001
44	(1.150434602162387+0.009853790983009932j)	0.29778218269348145	4.19543
45	(1.1453057595642255+0.0044980146815860045j)	0.32668614387512207	4.29076
46	(1.1455743015158628-0.0032253737421197304j)	0.29604506492614746	4.38608
