	res_adaptive	time_adaptive	w
0	(1.067753675807021-0.059813385093668646j)	0.6899230480194092	0.001
1	(1.283882219547665-0.28513622868219346j)	0.3568379878997803	0.09633
2	(1.4067838623530773-0.40029296841958395j)	0.3384518623352051	0.19166
3	(1.5158477642198236-0.48628426267204333j)	0.40689778327941895	0.28698
4	(1.6122652334075789-0.5556645173796247j)	0.3424339294433594	0.38231
5	(1.7012929099533771-0.6082458011930919j)	0.3393740653991699	0.47764
6	(1.7853626517531478-0.6514012241033446j)	0.3478279113769531	0.57297
7	(1.8692729749067878-0.6885500213973733j)	0.437180757522583	0.6683
8	(1.9507553255481547-0.719491211150808j)	0.3635697364807129	0.76362
9	(2.0303520700140436-0.7399343432969554j)	0.3673739433288574	0.85895
10	(2.1066884195774183-0.7539526404879957j)	0.3537609577178955	0.95428
11	(2.183701928700455-0.7652193752809052j)	0.33675384521484375	1.04961
12	(2.259682183393859-0.771082234382735j)	0.35437607765197754	1.14494
13	(2.3316850022366595-0.7697341471586916j)	0.39616823196411133	1.24026
14	(2.403373149261276-0.7627433506480148j)	0.48564815521240234	1.33559
15	(2.472777366451078-0.7532587648866909j)	0.38886523246765137	1.43092
16	(2.5410941162352065-0.7398073446438908j)	0.3589131832122803	1.52625
17	(2.6065869613557355-0.7193472133732123j)	0.6140809059143066	1.62157
18	(2.6711422528648767-0.6948455317772333j)	0.3252139091491699	1.7169
19	(2.7320002064494036-0.6677795012510603j)	0.5147368907928467	1.81223
20	(2.790803189839016-0.6375407707413536j)	0.32898402214050293	1.90756
21	(2.8476297155940653-0.6018229883440287j)	0.500330924987793	2.00289
22	(2.9025007256478523-0.5620152596112546j)	0.335665225982666	2.09821
23	(2.95267733926231-0.5199785153387417j)	0.6495528221130371	2.19354
24	(2.9998892395014787-0.4754212692366737j)	0.5004730224609375	2.28887
25	(3.045254721315851-0.42670606794669486j)	0.3416481018066406	2.3842
26	(3.0872849295403983-0.3741897933140673j)	0.3208167552947998	2.47953
27	(3.1256046302258302-0.32109543943395547j)	0.2966468334197998	2.57485
28	(3.1592958960099398-0.2650937581971402j)	0.3260457515716553	2.67018
29	(3.191081655101261-0.20652981017351907j)	0.3378129005432129	2.76551
30	(3.2194179953746227-0.14519213019880317j)	0.3262350559234619	2.86084
31	(3.242851091039908-0.08289939276663111j)	0.30228209495544434	2.95617
32	(3.261484531113059-0.01944053233882964j)	0.30232977867126465	3.05149
33	(3.277815444921331+0.04551627676160114j)	0.3148469924926758	3.14682
34	(3.2906758465062618+0.11205375814662405j)	0.3128669261932373	3.24215
35	(3.2981376608161797+0.17929174521598212j)	0.30695581436157227	3.33748
36	(3.300897661405413+0.24632504445411285j)	0.30772829055786133	3.43281
37	(3.300468020557929+0.3150730861784158j)	0.30345654487609863	3.52813
38	(3.296737846840851+0.3831127787872002j)	0.3044149875640869	3.62346
39	(3.287647845591061+0.4515668376221993j)	0.30309200286865234	3.71879
40	(3.273592031500696+0.5192928762660177j)	0.7218291759490967	3.81412
41	(3.257312279944067+0.5866280164459665j)	0.6751389503479004	3.90945
42	(3.2362981898686396+0.6529106082203453j)	0.3080451488494873	4.00477
43	(3.210888166819557+0.7187529286264478j)	0.3058030605316162	4.1001
44	(3.1806873347622027+0.7833501655564101j)	0.31899595260620117	4.19543
45	(3.147501378845968+0.845951474192318j)	0.3079521656036377	4.29076
46	(3.1113164911564692+0.9063211743414363j)	0.3374142646789551	4.38608
47	(3.0690786873336027+0.973403936701466j)	0.3350200653076172	4.48141
48	(3.025725884693573+1.0234260030325681j)	0.3274381160736084	4.57674
49	(2.977890260035968+1.0778136297135208j)	0.6397347450256348	4.67207
50	(2.9276522040222934+1.1294344322061385j)	0.501291036605835	4.7674
51	(2.872928491229697+1.1783765115135048j)	0.36686205863952637	4.86272
52	(2.8154146040144936+1.2254859646115694j)	0.471771240234375	4.95805
53	(2.755078608195756+1.2684098280245106j)	0.4464108943939209	5.05338
54	(2.6927201730733965+1.3074523976047137j)	0.40397191047668457	5.14871
