	res_adaptive	time_adaptive	w
0	(1.1321860466745075-0.16896563423767053j)	4.347598075866699	0.0001
1	(3.21171102172811-1.9122057871631122j)	0.3529238700866699	0.09543
2	(3.999948020670309-2.8251597469030845j)	0.38864898681640625	0.19076
3	(4.679909047990985-3.557820942697316j)	0.3457977771759033	0.28609
4	(5.357837742491122-4.186013116952763j)	0.32140207290649414	0.38142
5	(6.032153475770395-4.730633971863589j)	0.3276560306549072	0.47674
6	(6.717673301950071-5.191964619712213j)	0.3239259719848633	0.57207
7	(7.4201177189377905-5.575894270500086j)	0.3309781551361084	0.6674
8	(8.135278039701562-5.8857107816641685j)	0.31006693840026855	0.76273
9	(8.861503318472874-6.123579742330344j)	0.49783897399902344	0.85806
10	(9.596701131841279-6.289748291256929j)	0.39241695404052734	0.95339
11	(10.337055586826086-6.383061259420361j)	0.300551176071167	1.04872
12	(11.076603079775118-6.402654443553468j)	0.2948448657989502	1.14405
13	(11.806993372166255-6.347975068859218j)	0.3399817943572998	1.23937
14	(12.523931305587897-6.225763734855419j)	0.30373096466064453	1.3347
15	(13.223023855805314-6.035854091415397j)	0.3021528720855713	1.43003
16	(13.898668316932012-5.779359989701126j)	0.32697296142578125	1.52536
17	(14.54421100225291-5.458443549343558j)	0.3688509464263916	1.62069
18	(15.153097564342442-5.0770629277941195j)	0.35868191719055176	1.71602
19	(15.720082208576336-4.640412918637406j)	0.3039071559906006	1.81135
20	(16.241384528177157-4.153666403576283j)	0.2994101047515869	1.90668
21	(16.714694360494025-3.621572602623851j)	0.3534221649169922	2.002
22	(17.13437245891687-3.0466557491840454j)	0.3621840476989746	2.09733
23	(17.496391498338948-2.4362784779266193j)	0.31915903091430664	2.19266
24	(17.798499932901095-1.7973699795376603j)	0.3033590316772461	2.28799
25	(18.039791423368072-1.1362791607864335j)	0.43303894996643066	2.38332
26	(18.219686942937408-0.45848577180693706j)	0.4311518669128418	2.47865
27	(18.33749528940569+0.2302637899250473j)	0.33999204635620117	2.57398
28	(18.391718753983387+0.925118340580893j)	0.5851161479949951	2.66931
29	(18.38234123150999+1.6181819352064957j)	0.7381091117858887	2.76463
30	(18.313094442291376+2.301973592357978j)	0.49959301948547363	2.85996
31	(18.185882250234908+2.9728054067054406j)	0.3643341064453125	2.95529
32	(18.002575845833398+3.626047702224436j)	0.39910411834716797	3.05062
33	(17.76529113161919+4.2565906353930165j)	0.32510972023010254	3.14595
34	(17.477217077861926+4.859140003587897j)	0.3717329502105713	3.24128
35	(17.14275295610324+5.42912993873828j)	0.3304750919342041	3.33661
36	(16.766783342623523+5.963349735334448j)	0.3391120433807373	3.43194
37	(16.3537837011479+6.459660046639337j)	0.30411815643310547	3.52727
38	(15.909086510877975+6.916989125827102j)	0.6381278038024902	3.62259
39	(15.431745536698+7.331018948952899j)	0.5680148601531982	3.71792
40	(14.931709112299975+7.700597176684593j)	0.721160888671875	3.81325
41	(14.413046141835833+8.025460612959332j)	0.5545258522033691	3.90858
42	(13.880123782871093+8.306127868091446j)	0.47273707389831543	4.00391
43	(13.336595617090024+8.543061837556579j)	0.30167293548583984	4.09924
44	(12.786115294037353+8.736438494960488j)	0.3297410011291504	4.19457
45	(12.232824614008251+8.886682957009144j)	0.4430248737335205	4.2899
46	(11.681594991107664+8.994225071362468j)	0.4903581142425537	4.38522
47	(11.135511955520588+9.06401088936068j)	0.48888587951660156	4.48055
48	(10.731711017644692+9.10024340785386j)	0.4419698715209961	4.57588
49	(10.066817108526196+9.095263427291835j)	0.49559497833251953	4.67121
50	(9.549074287297875+9.060247382171337j)	0.35954713821411133	4.76654
51	(9.045682679094101+8.994764009047024j)	0.44718003273010254	4.86187
52	(8.5581942090331+8.902022984294517j)	0.3402090072631836	4.9572
53	(8.087092441827739+8.785046492652608j)	0.43027782440185547	5.05253
54	(7.631679125925963+8.646345902832246j)	0.326632022857666	5.14785
55	(7.193345299401941+8.486339205514236j)	0.38986968994140625	5.24318
56	(6.7726651159284845+8.308137339441041j)	0.3208940029144287	5.33851
57	(6.368216081360455+8.114332650949137j)	0.2979741096496582	5.43384
58	(5.982071246413371+7.9069982943608315j)	0.366375207901001	5.52917
59	(5.609846927889498+7.687122866344311j)	0.41289591789245605	5.6245
60	(5.2519081056708+7.455315382301119j)	0.3081789016723633	5.71983
61	(4.9079586709754315+7.212314495753053j)	0.3340418338775635	5.81516
62	(4.578049207365212+6.959106994565646j)	0.2991650104522705	5.91048
63	(4.259742129111659+6.697525404918049j)	0.2988431453704834	6.00581
64	(3.95198928542478+6.426448410864502j)	0.3038909435272217	6.10114
65	(3.6543822100431704+6.145223212681689j)	0.29759693145751953	6.19647
66	(3.3669343994921968+5.8535435110981195j)	0.31296205520629883	6.2918
67	(3.0894700309903533+5.551417149141364j)	0.29674506187438965	6.38713
68	(2.82141887199911+5.238614945678077j)	0.29337120056152344	6.48246
69	(2.5622296207426976+4.9142239734835345j)	0.36733078956604004	6.57779
70	(2.3120054733566247+4.576795048473805j)	0.31964969635009766	6.67312
71	(2.0715184438835035+4.224531162389714j)	0.2944059371948242	6.76844
72	(1.8431623044468748+3.8579140436054504j)	0.33449220657348633	6.86377
73	(1.626796280556173+3.4763502904073236j)	0.30348873138427734	6.9591
74	(1.4232998603741276+3.078836153833909j)	0.2932109832763672	7.05443
75	(1.2342914075330664+2.6642658309872744j)	0.2962360382080078	7.14976
76	(1.0620998718616574+2.2320738664226223j)	0.2957191467285156	7.24509
77	(0.9091683079650746+1.7825095565428788j)	0.29247522354125977	7.34042
78	(0.777551156015343+1.3163020331550264j)	0.2925128936767578	7.43575
79	(0.6688183331549215+0.8349147424878716j)	0.300656795501709	7.53107
80	(0.5848231048808386+0.33667464926427215j)	0.29512906074523926	7.6264
81	(0.5289161800265382-0.17661299598160043j)	0.340040922164917	7.72173
82	(0.5036889416949094-0.7029924003248321j)	0.4760141372680664	7.81706
83	(0.5111011552142429-1.2401717277271833j)	0.44133567810058594	7.91239
84	(0.5527303458404557-1.7860122985959803j)	0.3097500801086426	8.00772
85	(0.6295885112910807-2.3388903206412466j)	0.41565585136413574	8.10305
86	(0.7458120025166154-2.8952313519909993j)	0.30537986755371094	8.19838
87	(0.9018362810032107-3.4533193553019643j)	0.3168671131134033	8.2937
88	(1.0986584013666527-4.007794688953289j)	0.30570316314697266	8.38903
89	(1.3365793906617809-4.555754291644603j)	0.29520511627197266	8.48436
90	(1.6159803707596458-5.093981489712762j)	0.2936978340148926	8.57969
91	(1.9373051648618436-5.6188846822159935j)	0.2985870838165283	8.67502
92	(2.300564981856255-6.1262621461469156j)	0.3182342052459717	8.77035
93	(2.704870126630733-6.611651634207037j)	0.3811478614807129	8.86568
94	(3.14844558185071-7.070917638444066j)	0.49228501319885254	8.96101
95	(3.6286754414315388-7.500416471376518j)	0.43299198150634766	9.05633
96	(4.144502160541452-7.897766445379371j)	0.5372960567474365	9.15166
97	(4.693585635243042-8.258553639001692j)	0.37842607498168945	9.24699
98	(5.272717618328686-8.579100073421982j)	0.38512682914733887	9.34232
99	(5.8780432735685055-8.8564532081161j)	0.48994898796081543	9.43765
100	(6.505621279429908-9.088450545331954j)	0.5433270931243896	9.53298
101	(7.151727316570112-9.273318218674621j)	0.7420451641082764	9.62831
102	(7.812644542022589-9.409256129309508j)	0.37828898429870605	9.72364
103	(8.484188720667648-9.494491300796092j)	0.3739938735961914	9.81897
104	(9.161638536099648-9.527387999743368j)	0.381134033203125	9.91429
105	(9.839194476605966-9.508492313748592j)	0.34879398345947266	10.00962
106	(10.513090545063154-9.438210326910056j)	0.43439579010009766	10.10495
107	(11.17916906751957-9.31691573117091j)	0.537560224533081	10.20028
108	(11.83296398621413-9.145181356131722j)	0.37991786003112793	10.29561
109	(12.469732215921136-8.924260730235927j)	0.36516404151916504	10.39094
110	(13.084915360648134-8.656329850236236j)	0.38062214851379395	10.48627
111	(13.674630860618738-8.34419702448264j)	0.39147496223449707	10.5816
112	(14.235633397297647-7.991448328309192j)	0.4789919853210449	10.67692
113	(14.765552598274944-7.599215141580996j)	0.48357605934143066	10.77225
114	(15.260477836188889-7.171236187900405j)	0.36670804023742676	10.86758
115	(15.717631027668597-6.711452245102235j)	0.4148290157318115	10.96291
116	(16.1351208772807-6.22404483419109j)	0.4895670413970947	11.05824
117	(16.511756652876514-5.712947492009514j)	0.3800771236419678	11.15357
118	(16.846581137653388-5.181755535272141j)	0.3331160545349121	11.2489
119	(17.1386109559569-4.634067027013745j)	0.378032922744751	11.34423
120	(17.386587781246416-4.073519065554974j)	0.3500850200653076	11.43955
121	(17.591181399387278-3.5055721640177917j)	0.36196112632751465	11.53488
122	(17.753325231489747-2.9334327996747827j)	0.3279731273651123	11.63021
123	(17.87395550031769-2.360250783738418j)	0.3213341236114502	11.72554
124	(17.953922352637463-1.7891256153488808j)	0.3243420124053955	11.82087
125	(17.99432269124313-1.2233583318302006j)	0.35788488388061523	11.9162
126	(17.996880903070988-0.6662303937462994j)	0.37696385383605957	12.01153
127	(17.96394462662975-0.12052728828267978j)	0.3247392177581787	12.10686
128	(17.898056179518615+0.41173883335553385j)	0.344865083694458	12.20219
129	(17.801842461229974+0.9294900129358692j)	0.5615990161895752	12.29751
130	(17.67616036712371+1.430801002718697j)	0.32830166816711426	12.39284
131	(17.523922073242694+1.9139274312415642j)	0.32289981842041016	12.48817
132	(17.34793361967493+2.3778971796678228j)	0.3121609687805176	12.5835
133	(17.15079218304314+2.8224636523604607j)	0.31575798988342285	12.67883
134	(16.934558598306058+3.2477317305275184j)	0.3313639163970947	12.77416
135	(16.700904052058885+3.6537221911189954j)	0.3148000240325928	12.86949
136	(16.45151496206233+4.040295650668234j)	0.39589619636535645	12.96482
137	(16.188232917648218+4.407131219112008j)	0.4631640911102295	13.06014
138	(15.913643291795994+4.755570548229319j)	0.3159499168395996	13.15547
139	(15.628364044259147+5.086639857396047j)	0.3282630443572998	13.2508
140	(15.333043038381089+5.400996618215567j)	0.3842899799346924	13.34613
141	(15.028397706575806+5.699051063541768j)	0.3431868553161621	13.44146
142	(14.715310558584902+5.981351775713895j)	0.33873796463012695	13.53679
143	(14.394498015617675+6.248826300423875j)	0.32525086402893066	13.63212
144	(14.06612539022178+6.502568656485062j)	0.3974738121032715	13.72745
145	(13.729914884199262+6.7438316604774435j)	0.3988220691680908	13.82277
146	(13.384613223727532+6.971717642630765j)	0.3440258502960205	13.9181
147	(13.030775641975609+7.186597910776746j)	0.33116698265075684	14.01343
148	(12.668201711538506+7.388818033942454j)	0.32152223587036133	14.10876
149	(12.295079641871224+7.577751409719778j)	0.41060686111450195	14.20409
150	(11.913867014218912+7.755710864574874j)	0.38593196868896484	14.29942
151	(11.520291765552884+7.919191635413001j)	0.3966050148010254	14.39475
152	(11.115118735237596+8.067875056144567j)	0.41303396224975586	14.49008
153	(10.698660988908502+8.20016131973542j)	0.35831403732299805	14.5854
154	(10.270343679286407+8.316510951157609j)	0.5994439125061035	14.68073
155	(9.829549298467695+8.414907565387276j)	0.6535592079162598	14.77606
156	(9.376220080443161+8.493392019460515j)	0.6669459342956543	14.87139
157	(8.910922432072319+8.54994485762549j)	0.35453200340270996	14.96672
158	(8.434587334071445+8.58284199309056j)	0.3266592025756836	15.06205
159	(7.948132983435376+8.590573036509534j)	0.43346405029296875	15.15738
160	(7.452388396219026+8.571487716403404j)	0.47243595123291016	15.25271
161	(6.948409630640184+8.523567400408732j)	0.3785982131958008	15.34804
162	(6.437506140075012+8.444284842004585j)	0.31927013397216797	15.44336
163	(5.92312111070646+8.332173294588378j)	0.36824893951416016	15.53869
164	(5.407137411496315+8.186165144873867j)	0.3170502185821533	15.63402
165	(4.891784750812845+8.005043849317099j)	0.32340192794799805	15.72935
166	(4.378271248966641+7.78734036047247j)	0.3258059024810791	15.82468
167	(3.8737935463456563+7.532184858680342j)	0.36968111991882324	15.92001
168	(3.3779277629939917+7.2386582069881245j)	0.349506139755249	16.01534
169	(2.8956692686314867+6.906988561281491j)	0.3470308780670166	16.11067
170	(2.430564680624081+6.538082985519468j)	0.3424677848815918	16.20599
171	(1.9850591589433266+6.1318882716448835j)	0.31949591636657715	16.30132
172	(1.5633272498058444+5.689062802020579j)	0.34001898765563965	16.39665
173	(1.1692743845532143+5.211226965314903j)	0.3313279151916504	16.49198
174	(0.8065194905561809+4.700022666934622j)	0.403491735458374	16.58731
175	(0.4781036030510277+4.158432192447123j)	0.41390109062194824	16.68264
176	(0.1868116817117455+3.588777711970592j)	0.5812778472900391	16.77797
177	(-0.06454975813232389+2.993645256080685j)	0.5973901748657227	16.8733
178	(-0.27247339764011946+2.376446289442623j)	0.6111538410186768	16.96862
179	(-0.4358998223853784+1.739659469019j)	0.32619595527648926	17.06395
180	(-0.5515185836192328+1.089224125363131j)	0.4234750270843506	17.15928
181	(-0.6188003938757816+0.4283281948250006j)	0.46125102043151855	17.25461
182	(-0.6365730721196796-0.23913750094934255j)	0.40517687797546387	17.34994
183	(-0.6038129002398634-0.9089265073288784j)	0.4877588748931885	17.44527
184	(-0.5200200845409694-1.576349187967898j)	0.39754295349121094	17.5406
185	(-0.3855139279980244-2.2365889286349425j)	0.4766812324523926	17.63593
186	(-0.2015186128851611-2.8845674361151117j)	0.48060178756713867	17.73125
187	(0.030697488881332557-3.517645950038136j)	0.5201320648193359	17.82658
188	(0.3101262037300899-4.131098643945696j)	0.7856361865997314	17.92191
189	(0.634907472630409-4.720596869173298j)	0.570181131362915	18.01724
190	(1.0024162941580943-5.282080226624105j)	0.6101498603820801	18.11257
191	(1.4095284869332885-5.812116537434106j)	0.43085503578186035	18.2079
192	(1.8530094393425118-6.307870378450154j)	0.36554503440856934	18.30323
193	(2.3297067295648004-6.766810303443329j)	0.39469289779663086	18.39856
194	(2.836338422674659-7.186443277255609j)	0.46869397163391113	18.49389
195	(3.369577331547316-7.564172891451213j)	0.8576099872589111	18.58921
196	(3.9241068006215345-7.898445227528796j)	0.6345846652984619	18.68454
197	(4.4963060561530845-8.18979087626745j)	0.6276760101318359	18.77987
198	(5.082178205279851-8.434115831981767j)	0.5533969402313232	18.8752
199	(5.6781874449838865-8.634466526184255j)	0.7446308135986328	18.97053
200	(6.280224310251261-8.789463804479372j)	1.011889934539795	19.06586
201	(6.884093116206877-8.899525089130995j)	1.025238037109375	19.16119
202	(7.485820990633-8.96578698138401j)	0.4587712287902832	19.25652
203	(8.080946615510396-8.99029748499249j)	0.4207160472869873	19.35184
204	(8.66980010100832-8.973880202672595j)	0.37108397483825684	19.44717
205	(9.246413339412237-8.91830571857268j)	0.35202479362487793	19.5425
206	(9.80857598816745-8.825606439713514j)	0.37067103385925293	19.63783
207	(10.35376173059587-8.698390044759739j)	0.37108492851257324	19.73316
208	(10.880125898716539-8.539384373820397j)	0.37027907371520996	19.82849
209	(11.386307761731125-8.351104002268446j)	0.3522028923034668	19.92382
210	(11.871081936239166-8.135840018523986j)	0.5891718864440918	20.01915
211	(12.333272107572164-7.89569947496975j)	0.7442688941955566	20.11447
212	(12.7713780652301-7.633944828117047j)	0.4684031009674072	20.2098
213	(13.185648368510737-7.353269938120004j)	0.7106139659881592	20.30513
214	(13.576279047625174-7.055900863984382j)	0.5048727989196777	20.40046
215	(13.943434472145324-6.743736215739784j)	0.60614013671875	20.49579
216	(14.287205849850608-6.418676130759389j)	0.7191159725189209	20.59112
217	(14.607892676635009-6.082759156894278j)	0.4966890811920166	20.68645
218	(14.906284332431394-5.737944631867102j)	0.5310091972351074	20.78178
219	(15.183528081606841-5.3862316340790874j)	0.37337207794189453	20.8771
220	(15.44105321086606-5.02733245099478j)	0.41177988052368164	20.97243
221	(15.679135250429884-4.662506829473797j)	0.5422990322113037	21.06776
222	(15.899432173077459-4.292604268162096j)	0.4740180969238281	21.16309
223	(16.100347953499366-3.918637484672317j)	0.445357084274292	21.25842
224	(16.28570404267969-3.5405563314735593j)	0.3570098876953125	21.35375
225	(16.45548342594036-3.1582040435183516j)	0.3293130397796631	21.44908
226	(16.610078295841298-2.7711762549092906j)	0.3484969139099121	21.54441
227	(16.749572036355886-2.3792553838515644j)	0.40065717697143555	21.63974
228	(16.87358204871638-1.98248806569076j)	0.38125181198120117	21.73506
