	res_adaptive	time_adaptive	w
0	(1.305561270207123-0.12245017621565996j)	1.171996831893921	0.001
1	(2.400414777404198-1.035442834202337j)	0.32639384269714355	0.09633
2	(2.9164000572858755-1.4084887319735933j)	0.3085191249847412	0.19166
3	(3.3697907517069865-1.645813111176098j)	0.341602087020874	0.28698
4	(3.7935769002886333-1.7977584376576337j)	0.3310420513153076	0.38231
5	(4.200188232104864-1.8784125577516255j)	0.3063380718231201	0.47764
6	(4.593154609346808-1.8964708042589355j)	0.43038201332092285	0.57297
7	(4.9652543331366426-1.856452664205703j)	0.3751058578491211	0.6683
8	(5.318504882907437-1.7643430203220132j)	0.3379967212677002	0.76362
9	(5.645931762264098-1.621057581276902j)	0.4186577796936035	0.85895
10	(5.945781340427135-1.4323821258313012j)	0.29824209213256836	0.95428
11	(6.213851030957858-1.2058476063403534j)	0.4259471893310547	1.04961
12	(6.4446708339661525-0.9443194800607662j)	0.29291701316833496	1.14494
13	(6.636532289685707-0.6490004636811101j)	0.49393510818481445	1.24026
14	(6.784416141013214-0.33091923301289944j)	0.443493127822876	1.33559
15	(6.887070483794796+0.00941260976089181j)	0.301332950592041	1.43092
16	(6.943746860062369+0.36231686898074145j)	0.2939138412475586	1.52625
17	(6.948917301982526+0.7222364046584935j)	0.3043956756591797	1.62157
18	(6.906861668418758+1.0826299576735487j)	0.2870912551879883	1.7169
19	(6.813868428019205+1.4385836027544778j)	0.3008739948272705	1.81223
20	(6.672890188715585+1.7835303655396757j)	0.28674888610839844	1.90756
21	(6.486712543924679+2.108978294355521j)	0.29309797286987305	2.00289
22	(6.256732874757605+2.4112286673115984j)	0.38126206398010254	2.09821
23	(5.9843331339356105+2.682528444030841j)	0.30205798149108887	2.19354
24	(5.678255032022438+2.9189824822678605j)	0.41611289978027344	2.28887
25	(5.339583631065053+3.1174678537817857j)	0.4195079803466797	2.3842
26	(4.9753370620752495+3.272602830259348j)	0.3018791675567627	2.47953
27	(4.588247377835577+3.3799898321829565j)	0.31222081184387207	2.57485
28	(4.188384929058827+3.438012150499557j)	0.31449103355407715	2.67018
29	(3.778674854607828+3.4449404001124457j)	0.2848992347717285	2.76551
30	(3.366995764111387+3.4003200516369425j)	0.2864530086517334	2.86084
31	(2.961690793473503+3.3025434876536073j)	0.28722596168518066	2.95617
32	(2.568330734129725+3.1533845070229347j)	0.28595399856567383	3.05149
33	(2.1936388888461673+2.9532955077738285j)	0.2824440002441406	3.14682
34	(1.8435555884496466+2.705052276722229j)	0.2846798896789551	3.24215
35	(1.5248799362973942+2.4138049333707063j)	0.29250192642211914	3.33748
36	(1.2439219459574131+2.082880218199754j)	0.283519983291626	3.43281
37	(1.0035110109132734+1.7152564393559757j)	0.2873837947845459	3.52813
38	(0.8112842285828044+1.3181923352288258j)	0.28586697578430176	3.62346
39	(0.668085635338354+0.8967946084365123j)	0.2853848934173584	3.71879
40	(0.5774254279032065+0.4583740477139677j)	0.2897639274597168	3.81412
41	(0.543692734047392+0.009191527244309217j)	0.29353976249694824	3.90945
42	(0.5659209597637331-0.4436590444124683j)	0.2838311195373535	4.00477
43	(0.6458051125585398-0.8931895458426874j)	0.28442811965942383	4.1001
44	(0.7820312359199117-1.332522094367142j)	0.28545427322387695	4.19543
45	(0.97301065597669-1.7526541496556658j)	0.28671789169311523	4.29076
46	(1.2164520205102165-2.1475887643109854j)	0.2829549312591553	4.38608
47	(1.5095253992910385-2.5103840106949367j)	0.2875502109527588	4.48141
48	(1.8483788355465476-2.835033070508369j)	0.28534507751464844	4.57674
49	(2.226504187535988-3.1166123126644782j)	0.2975151538848877	4.67207
50	(2.6381223761036887-3.3493380121242318j)	0.28548502922058105	4.7674
51	(3.0794787595102626-3.5292883203494605j)	0.2867460250854492	4.86272
52	(3.5407888561418783-3.652100602666968j)	0.29044485092163086	4.95805
53	(4.017072282723828-3.7164791950065363j)	0.28444623947143555	5.05338
54	(4.500078400350258-3.7211269254454162j)	0.2848823070526123	5.14871
55	(4.981373666657147-3.6639045421285354j)	0.29204702377319336	5.24404
56	(5.453536367719155-3.5455537334066918j)	0.2864413261413574	5.33936
57	(5.578201605129111-3.450081590481741j)	0.290910005569458	5.43469
58	(6.341119479420637-3.1317481813423633j)	0.29069089889526367	5.53002
59	(6.741215117901553-2.842774451779788j)	0.2940950393676758	5.62535
60	(7.102107562052769-2.504286042539758j)	0.28493499755859375	5.72068
61	(7.419968508394791-2.120873747126729j)	0.2850198745727539	5.816
62	(7.686421432385965-1.6982608259194438j)	0.2885918617248535	5.91133
63	(7.898963210019659-1.24338301617475j)	0.2843000888824463	6.00666
64	(8.053389955749983-0.7639675070155687j)	0.28450703620910645	6.10199
65	(8.14561036136834-0.2665845717655593j)	0.28859806060791016	6.19732
66	(8.173930649579694+0.2409762144789096j)	0.28496527671813965	6.29264
67	(8.137638152758385+0.7501335470660857j)	0.2851078510284424	6.38797
68	(8.038095484905542+1.25370647018706j)	0.27025508880615234	6.4833
69	(7.873092528807023+1.741271250700105j)	0.2890129089355469	6.57863
70	(7.646837214061131+2.2056934218144546j)	0.28514909744262695	6.67396
71	(10.809922374728622+3.7236471992829685j)	0.2850518226623535	6.76928
72	(7.024741644783782+3.0365144268149904j)	0.28304481506347656	6.86461
73	(6.637562230688269+3.388547065860724j)	0.2840919494628906	6.95994
74	(6.208057909957604+3.6894427021199747j)	0.28495097160339355	7.05527
75	(5.741104584959571+3.935170199420263j)	0.2831718921661377	7.15059
76	(5.245592170593797+4.119454399633936j)	0.28885483741760254	7.24592
77	(4.728253223092512+4.240491096058208j)	0.2966911792755127	7.34125
78	(4.197866978263257+4.29619726113331j)	0.28435707092285156	7.43658
79	(3.6630042973120513+4.283892779308255j)	0.3322560787200928	7.53191
80	(3.1319188605485424+4.2031766631331955j)	0.45618605613708496	7.62723
81	(2.613505029255311+4.055589063160206j)	0.4785463809967041	7.72256
82	(2.1153381532175293+3.8426350965112963j)	0.4928760528564453	7.81789
83	(1.646782011429921+3.5678754514371827j)	0.3222060203552246	7.91322
84	(1.2161984045650742+3.234819654391419j)	0.31972575187683105	8.00855
85	(0.8289016787496684+2.8490461799338314j)	0.44936680793762207	8.10387
86	(0.49329948096460974+2.415184443083593j)	0.3769569396972656	8.1992
87	(0.21380895989080217+1.940994954002918j)	0.3711211681365967	8.29453
88	(-0.0044204131641432665+1.4345528587906684j)	0.43983888626098633	8.38986
89	(-0.15695936150050083+0.9028222213847696j)	0.33080506324768066	8.48519
90	(-0.2413233697058369+0.3537196256599046j)	0.32530999183654785	8.58051
91	(-0.2557291166756349-0.20350905435660968j)	0.370880126953125	8.67584
92	(-0.1996273576560896-0.7591013831875888j)	0.3860609531402588	8.77117
93	(-0.07353181081208288-1.3048565806268457j)	0.3317070007324219	8.8665
94	(0.12201223275604356-1.8315089891276513j)	0.36618804931640625	8.96183
95	(0.3824105022644738-2.3305109009825298j)	0.3578681945800781	9.05715
96	(0.7057421571170175-2.7942297147993607j)	0.3123500347137451	9.15248
97	(1.085732374137401-3.2145339166217006j)	0.33008670806884766	9.24781
98	(1.516414985594041-3.5836074101163455j)	0.2887380123138428	9.34314
99	(1.9918545551692761-3.8958320270139875j)	0.3123047351837158	9.43847
100	(2.5044217117826473-4.146792058975391j)	0.2959878444671631	9.53379
101	(3.04607108979813-4.330714642521072j)	0.2974257469177246	9.62912
102	(3.6075700223716085-4.445593765375186j)	0.305819034576416	9.72445
103	(4.179760417182791-4.488217742881968j)	0.3750472068786621	9.81978
104	(4.755543954051683-4.457487829196611j)	0.31403112411499023	9.9151
105	(5.323586364664562-4.353798748585309j)	0.30031704902648926	10.01043
106	(5.8752384398645-4.179077382537603j)	0.2978510856628418	10.10576
107	(6.401632265704847-3.935365212843928j)	0.31311488151550293	10.20109
108	(6.893221104791978-3.6257862819556106j)	0.30811500549316406	10.29642
109	(7.3430116854554335-3.256162388937334j)	0.31164073944091797	10.39174
110	(7.742510158714227-2.8308545298704346j)	0.3126850128173828	10.48707
111	(8.08662321120081-2.357016150374717j)	0.311596155166626	10.5824
112	(8.368018349178314-1.843363258723559j)	0.30150890350341797	10.67773
113	(8.582109318529312-1.2970203368652102j)	0.287186861038208	10.77306
114	(8.725960830304317-0.7260916667354294j)	0.2856171131134033	10.86838
115	(6.788020644359294-1.2203210989768913j)	0.3143899440765381	10.96371
116	(8.791722350365188+0.4503051652973795j)	0.3604750633239746	11.05904
117	(8.712572066197113+1.0368226104249443j)	0.3705148696899414	11.15437
118	(8.558571638745244+1.6098004918920013j)	0.34882307052612305	11.2497
119	(8.333188778388287+2.1593471057184135j)	0.2896769046783447	11.34502
120	(8.038857477402594+2.6775300636603587j)	0.28936123847961426	11.44035
121	(7.680786981259069+3.155235656364413j)	0.2867472171783447	11.53568
122	(7.264451180624737+3.5836919185356337j)	0.3104431629180908	11.63101
123	(6.79652310490306+3.9566019076951875j)	0.3274219036102295	11.72634
124	(6.283410805700927+4.268036627915842j)	0.30684590339660645	11.82166
125	(5.733956211809775+4.512064241484186j)	0.28983211517333984	11.91699
126	(5.157609331405977+4.685238308033373j)	0.2856607437133789	12.01232
127	(4.56321231636524+4.783892426834123j)	0.28615808486938477	12.10765
128	(3.959366025639315+4.806247460945404j)	0.29189515113830566	12.20298
129	(3.356949386165222+4.7516851524229295j)	0.2872931957244873	12.2983
130	(2.764783109509486+4.621322909039376j)	0.2949061393737793	12.39363
131	(2.1931205481067133+4.416919389235845j)	0.3040478229522705	12.48896
132	(1.651779233818696+4.1403550472900275j)	0.28174710273742676	12.58429
133	(1.148641816549679+3.7979066087796842j)	0.28608107566833496	12.67961
134	(0.6923595791105275+3.3928664491194174j)	0.28465795516967773	12.77494
135	(0.29020858483978484+2.932605628632605j)	0.4081761837005615	12.87027
136	(-0.050473934218188576+2.4250079989685283j)	0.2883336544036865	12.9656
137	(-0.32402739913786205+1.8775330863091135j)	0.287639856338501	13.06093
138	(-0.527092850573231+1.298679906400789j)	0.28539204597473145	13.15625
139	(-0.6545335179334772+0.6979559778780448j)	0.2890968322753906	13.25158
140	(-0.7056028702810668+0.0852300476292347j)	0.28785204887390137	13.34691
141	(-0.6786716636693748-0.5294303565238667j)	0.28563475608825684	13.44224
142	(-0.5733434367135604-1.1367943304590913j)	0.28823304176330566	13.53757
143	(-0.39176501651632245-1.7263382554131503j)	0.29462289810180664	13.63289
144	(-0.13655251493896792-2.2892973581242173j)	0.28836822509765625	13.72822
145	(0.18804318729183733-2.8161488314637744j)	0.289215087890625	13.82355
146	(0.5773238511994496-3.297444657537232j)	0.28612399101257324	13.91888
147	(1.0254933491793983-3.7257924384442065j)	0.26988792419433594	14.01421
148	(1.5238682173411613-4.094739324131477j)	0.29323291778564453	14.10953
149	(2.066517304057484-4.39758771552429j)	0.2887258529663086	14.20486
150	(2.643076614124719-4.629581490743952j)	0.29170918464660645	14.30019
151	(3.2446249408868635-4.786438164944168j)	0.28517699241638184	14.39552
152	(3.8623392057481687-4.865889836001999j)	0.2878561019897461	14.49085
153	(4.485617598159194-4.86630922898187j)	0.2884249687194824	14.58617
154	(5.10461659979928-4.78790647919307j)	0.28500795364379883	14.6815
155	(5.709017461352156-4.631882058358531j)	0.2861819267272949	14.77683
156	(6.289050869298499-4.399694434349764j)	0.31329798698425293	14.87216
157	(6.835696055096401-4.095142683830119j)	0.30695605278015137	14.96749
158	(7.339159515194501-3.724274932648549j)	0.2892179489135742	15.06281
159	(7.792591434406121-3.2916318753197187j)	0.28687572479248047	15.15814
160	(8.187271452115674-2.8049950382774056j)	0.2883639335632324	15.25347
161	(8.516762908629488-2.2717236085816874j)	0.29312896728515625	15.3488
162	(8.776999373458768-1.7007251272503079j)	0.28878116607666016	15.44412
163	(8.96181510192535-1.100696751518477j)	0.2898087501525879	15.53945
164	(9.070104169865225-0.481533218312836j)	0.2917821407318115	15.63478
165	(9.098652685436276+0.14588784284370337j)	0.29566478729248047	15.73011
166	(9.04732783908412+0.7729235164223667j)	0.28649306297302246	15.82544
167	(8.916624294910978+1.3885749775303098j)	0.28577303886413574	15.92076
168	(8.708851353469763+1.9832364751433942j)	0.2866702079772949	16.01609
169	(4.793439609658597-0.6725140338964817j)	0.28636693954467773	16.11142
170	(8.076575444082597+3.0708036640847736j)	0.28792786598205566	16.20675
171	(7.6612537213015255+3.5457530945210443j)	0.29018306732177734	16.30208
172	(7.1897302425071725+3.9645224655291367j)	0.28615283966064453	16.3974
173	(6.66775547243618+4.320449899250196j)	0.28475093841552734	16.49273
174	(6.10516213006437+4.607362017244993j)	0.2850322723388672	16.58806
175	(5.510768732067762+4.820236057165083j)	0.2843468189239502	16.68339
176	(4.893560772073976+4.956234541312921j)	0.2855219841003418	16.77872
177	(4.263815744319338+5.013077670903421j)	0.29102396965026855	16.87404
178	(3.6317183884738204+4.9896395551121495j)	0.2923471927642822	16.96937
179	(3.007799172500128+4.886611760316442j)	0.29004812240600586	17.0647
180	(2.4017901717465318+4.704811403192104j)	0.28794097900390625	17.16003
181	(1.8230719719698896+4.447254574995366j)	0.2931950092315674	17.25536
182	(1.2823142397684093+4.118764864508714j)	0.30304789543151855	17.35068
183	(0.7865619382097038+3.724141413919535j)	0.2840578556060791	17.44601
184	(0.34520242629305264+3.2699238588850044j)	0.2869548797607422	17.54134
185	(-0.03459684022835163+2.76301876039584j)	0.2864799499511719	17.63667
186	(-0.34745068015549485+2.21195704629249j)	0.2860112190246582	17.732
187	(-0.5881877107148238+1.6259519805634495j)	0.2950272560119629	17.82732
188	(-0.7526642893015384+1.0139570832335167j)	0.2896137237548828	17.92265
189	(-0.8381314117128873+0.3865659381501334j)	0.28811192512512207	18.01798
190	(-0.8432307941070942-0.24693052734211252j)	0.29303503036499023	18.11331
191	(-0.768113444773373-0.8761848705534381j)	0.28995800018310547	18.20863
192	(-0.6138222366209629-1.490812676366083j)	0.2977406978607178	18.30396
193	(-0.3834068489408543-2.080985133975152j)	0.2935011386871338	18.39929
194	(-0.07981427259827889-2.636866549129126j)	0.28482604026794434	18.49462
195	(0.29232845590954115-3.1498499102330215j)	0.3769500255584717	18.58995
196	(0.7258816216084805-3.6113644296123066j)	0.30568718910217285	18.68527
197	(1.2145735043314938-4.014379912631339j)	0.29116225242614746	18.7806
198	(1.7489499916541622-4.353509817941882j)	0.2945549488067627	18.87593
199	(2.3239892811469187-4.618659896012829j)	0.28998494148254395	18.97126
200	(2.9270698559412143-4.8104044839601725j)	0.2888977527618408	19.06659
201	(3.549324573238473-4.924569105135948j)	0.29744577407836914	19.16191
202	(4.180984584608102-4.95875241554117j)	0.3204059600830078	19.25724
203	(4.811215818024732-4.912934418019052j)	0.29140710830688477	19.35257
204	(5.430414242769775-4.787356462134322j)	0.28986597061157227	19.4479
205	(6.029094027424339-4.584281991963531j)	0.28938770294189453	19.54323
206	(6.596292943384797-4.307094212370407j)	0.2933351993560791	19.63855
207	(7.124332312599588-3.9606651531836223j)	0.2859981060028076	19.73388
208	(7.60368335859303-3.550320139349377j)	0.2879459857940674	19.82921
209	(8.026652906421534-3.082241604366461j)	0.28636693954467773	19.92454
210	(8.386962858552344-2.5645321151806737j)	0.35357022285461426	20.01987
211	(8.67871139217513-2.0061959972305163j)	0.47841906547546387	20.11519
212	(8.897315840988703-1.4152904754147073j)	0.3479480743408203	20.21052
213	(9.038880842706522-0.8022560137634267j)	0.7899589538574219	20.30585
214	(9.101482798130206-0.17633856511644286j)	0.4210178852081299	20.40118
215	(9.08479693780852+0.45243617723782936j)	0.39881396293640137	20.49651
216	(8.988136229531523+1.0734632753492157j)	0.3403658866882324	20.59183
217	(8.814339166593287+1.6768719693221352j)	0.3036212921142578	20.68716
218	(8.565456912404617+2.2528653500625024j)	0.30861806869506836	20.78249
219	(8.24532003828065+2.7926914411368697j)	0.3045051097869873	20.87782
220	(7.860039416059507+3.286812420559238j)	0.30392909049987793	20.97314
