	res_adaptive	time_adaptive	w
0	(0.9927417023926789-0.0038889254795536335j)	0.32233595848083496	0.001
1	(0.9639491153770462+0.1591066417594032j)	0.30155277252197266	0.09633
2	(0.9025800047999356+0.2836328563181896j)	0.29862284660339355	0.19166
3	(0.8184254595522834+0.37903485661089464j)	0.32737183570861816	0.28698
4	(0.7282262608299795+0.4532548177072112j)	0.31767868995666504	0.38231
5	(0.6365595403391114+0.5013518081035954j)	0.3081510066986084	0.47764
6	(0.5478654545453223+0.533881257219301j)	0.3695101737976074	0.57297
7	(0.4592890229820625+0.5494437761231201j)	0.31552910804748535	0.6683
8	(0.37734699304148+0.5525355999546608j)	0.3308601379394531	0.76362
9	(0.30357492214593906+0.5421410124252615j)	0.30340099334716797	0.85895
10	(0.23849113996960003+0.5255745556542207j)	0.30910778045654297	0.95428
11	(0.17864423966696255+0.5011721761962662j)	0.3155481815338135	1.04961
12	(0.12901276371718048+0.4707184356798605j)	0.30884385108947754	1.14494
13	(0.08517964387924402+0.43919321579631876j)	0.43401384353637695	1.24026
14	(0.050806034274375036+0.4056929348247198j)	0.37743401527404785	1.33559
15	(0.02112352746307561+0.3699632466585445j)	0.351517915725708	1.43092
16	(-0.00027748665198540357+0.3335732570614322j)	0.3466029167175293	1.52625
17	(-0.017937494003586022+0.2996566096344871j)	0.5186131000518799	1.62157
18	(-0.028922734528067477+0.2672808382050477j)	0.36058926582336426	1.7169
19	(-0.037275166332953184+0.23519069103053244j)	0.3727598190307617	1.81223
20	(-0.0400459737183016+0.20485871066596947j)	0.29193687438964844	1.90756
21	(-0.04102023852693141+0.17835417215472932j)	0.28078484535217285	2.00289
22	(-0.03895588935886841+0.15405497217763625j)	0.28270506858825684	2.09821
23	(-0.035645538876566296+0.13087048244373184j)	0.2850189208984375	2.19354
24	(-0.028979413238153846+0.11009656654038989j)	0.2840859889984131	2.28887
25	(-0.022499896367919284+0.09288011678203728j)	0.28556394577026367	2.3842
26	(-0.0152222075266778+0.07617915320201886j)	0.2840309143066406	2.47953
27	(-0.006732092541656655+0.06353547667388434j)	0.28308892250061035	2.57485
28	(0.002997233942213945+0.0514818318482167j)	0.28438401222229004	2.67018
29	(0.011355729373419558+0.04215395805630078j)	0.39122700691223145	2.76551
30	(0.019833314267639478+0.032898371731284855j)	0.33960700035095215	2.86084
31	(0.02902526736044821+0.026493604823555002j)	0.43416690826416016	2.95617
32	(0.036748368921298555+0.021133592453965268j)	0.36057615280151367	3.05149
33	(0.04510003358511374+0.017369211868297395j)	0.29704713821411133	3.14682
34	(0.052285657925887435+0.013059787903192973j)	0.2968897819519043	3.24215
35	(0.05982473473839574+0.011084159699098888j)	0.3573479652404785	3.33748
36	(0.0652954656675452+0.009528595737555113j)	0.3035259246826172	3.43281
37	(0.07196657463542565+0.008853385645690172j)	0.46477603912353516	3.52813
38	(0.07730925731516428+0.007369500414252109j)	0.6384060382843018	3.62346
39	(0.08251081735089916+0.007755022562968793j)	0.34546589851379395	3.71879
40	(0.08591910899917062+0.00797435629931539j)	0.3170750141143799	3.81412
41	(0.09018122069169524+0.008058330930435948j)	0.3539400100708008	3.90945
42	(0.09394889668067061+0.008691530156598067j)	0.35599279403686523	4.00477
43	(0.0971552631185517+0.010072211668829888j)	0.29795026779174805	4.1001
44	(0.09884768703121678+0.010875461994036552j)	0.33316898345947266	4.19543
45	(0.10150939018413642+0.01156226261592131j)	0.28795909881591797	4.29076
46	(0.10374217003402278+0.012503168431607396j)	0.28750085830688477	4.38608
47	(0.10544223879807914+0.014075749152179204j)	0.2856910228729248	4.48141
48	(0.10601295146334518+0.014828430562071546j)	0.2931210994720459	4.57674
49	(0.10749069759309404+0.015547188874843333j)	0.2926180362701416	4.67207
50	(0.10806270256467565+0.017225966962120982j)	0.30507755279541016	4.7674
51	(0.10939120213900315+0.01771714822185507j)	0.34543704986572266	4.86272
52	(0.10917244717724944+0.018109930837293252j)	0.3221139907836914	4.95805
53	(0.11005205747903823+0.018666602415853155j)	0.33906984329223633	5.05338
54	(0.10993468981385342+0.019965538618534662j)	0.3201589584350586	5.14871
55	(0.10990163405958768+0.020014787206912736j)	0.32849693298339844	5.24404
56	(0.11018807128462899+0.020191748093753428j)	0.31218600273132324	5.33936
57	(0.11070941317747897+0.02053184590781406j)	0.2957179546356201	5.43469
58	(0.11021919790359644+0.021436606218778236j)	0.2910459041595459	5.53002
59	(0.11005023801894616+0.021179423747953816j)	0.3064088821411133	5.62535
60	(0.11054418521214152+0.02181645712696234j)	0.296612024307251	5.72068
61	(0.11049506155608696+0.021247446475638324j)	0.2859771251678467	5.816
62	(0.10983561156397488+0.02181628556122958j)	0.2941091060638428	5.91133
63	(0.10969076715451319+0.02134164143292138j)	0.3012409210205078	6.00666
64	(0.11005254371494311+0.021838532507751446j)	0.310269832611084	6.10199
65	(0.10945168095314994+0.021859398674721246j)	0.3285510540008545	6.19732
66	(0.10931277420309839+0.021420876076823j)	0.29030799865722656	6.29264
67	(0.10927045183340021+0.020825394938255394j)	0.29753971099853516	6.38797
68	(0.10956361181408034+0.021247497264956984j)	0.2960970401763916	6.4833
69	(0.10900971258541726+0.021068604450871095j)	0.30208301544189453	6.57863
70	(0.10952366896346988+0.020513369755157117j)	0.29111409187316895	6.67396
71	(0.10898963029852442+0.019929044054444123j)	0.2876451015472412	6.76928
72	(0.10921951263944456+0.020321122593441j)	0.3112142086029053	6.86461
73	(0.1087575417987769+0.020013993924243825j)	0.29102492332458496	6.95994
74	(0.10935476189143527+0.01951438809546311j)	0.2867450714111328	7.05527
75	(0.10890030223308025+0.018879045529278222j)	0.2807142734527588	7.15059
76	(0.1090947298875372+0.01927994107627103j)	0.2805478572845459	7.24592
77	(0.10870241123100627+0.018882707799519463j)	0.279634952545166	7.34125
78	(0.10936137936939865+0.018475857536621277j)	0.28113508224487305	7.43658
79	(0.1093111323963144+0.01868828257222718j)	0.2806248664855957	7.53191
80	(0.1091127679759625+0.018239150796738365j)	0.2867560386657715	7.62723
81	(0.10880304815442428+0.0177888141704392j)	0.28108692169189453	7.72256
82	(0.10949633088726575+0.01749349258560757j)	0.2833878993988037	7.81789
83	(0.10939709982148424+0.017680674194780355j)	0.28136491775512695	7.91322
84	(0.10943615435020003+0.016856033476572226j)	0.3063530921936035	8.00855
85	(0.10900478414738365+0.016788937646543795j)	0.29599595069885254	8.10387
86	(0.10970565820449053+0.01661074346002474j)	0.28257107734680176	8.1992
87	(0.10955561332460667+0.016768805658161436j)	0.3068051338195801	8.29453
88	(0.10969096866498176+0.015976160234410966j)	0.49261021614074707	8.38986
89	(0.11020872131023206+0.01597930289424484j)	0.3328568935394287	8.48519
90	(0.10994346071740149+0.015837790574935295j)	0.30834412574768066	8.58051
91	(0.10974484571019451+0.015958516153969447j)	0.28401684761047363	8.67584
92	(0.10996530732965124+0.01520939084604049j)	0.31128406524658203	8.77117
93	(0.1104203871928523+0.015294201909583593j)	0.32962989807128906	8.8665
94	(0.10998771888930603+0.014971352244392909j)	0.2817060947418213	8.96183
95	(0.10993750329647757+0.015240350952885406j)	0.2809569835662842	9.05715
96	(0.11023264326253969+0.014543219995993534j)	0.2843050956726074	9.15248
97	(0.11061468124791936+0.014693539769373556j)	0.28197193145751953	9.24781
98	(0.1102018907155488+0.014314684419669373j)	0.2819399833679199	9.34314
99	(0.110597793970599+0.013779489773604839j)	0.2817509174346924	9.43847
100	(0.11047814741729003+0.013960482684127161j)	0.2851541042327881	9.53379
101	(0.11078116790058272+0.014159912424160169j)	0.28270912170410156	9.62912
102	(0.11039827890587194+0.013726488149443019j)	0.28212404251098633	9.72445
103	(0.11082346199887347+0.01327911891846037j)	0.28141307830810547	9.81978
104	(0.11069582780068057+0.013444975557305096j)	0.2861478328704834	9.9151
105	(0.11091773356191824+0.01367657596896435j)	0.2974720001220703	10.01043
106	(0.11057462804134668+0.013192886775119726j)	0.29654884338378906	10.10576
107	(0.11094541784339695+0.014052385109279725j)	0.2940700054168701	10.20109
