	res_adaptive	time_adaptive	w
0	(3.8037678865521984-1.6826704521667102j)	2.732908010482788	0.001
1	(-29.381562084717014-10.457159306638j)	0.49635982513427734	0.09633
2	(-4.847175249425617+35.00441211667866j)	0.4362790584564209	0.19166
3	(22.882624264878455-4.594108211511726j)	0.44176316261291504	0.28698
4	(-6.158683860230116-6.228932328177743j)	0.41500377655029297	0.38231
5	(5.544878298467907-7.1012468662854555j)	0.41608405113220215	0.47764
6	(-26.085606637043938-9.174824103207484j)	0.4257340431213379	0.57297
7	(-3.1512070893896675+35.449124590795016j)	0.45256614685058594	0.6683
8	(30.39357436130619-8.529882915296247j)	0.4532461166381836	0.76362
9	(-13.835920663759966-17.24396584734548j)	0.4214358329772949	0.85895
10	(-3.6087558507085875+3.99061949031653j)	0.43344688415527344	0.95428
11	(-15.103449925577651-4.323416732724626j)	0.5142781734466553	1.04961
12	(-1.1849262385897599+29.602085794343168j)	0.527191162109375	1.14494
13	(32.161210699091995-11.230699065700891j)	0.4999399185180664	1.24026
14	(-20.73351219683773-24.43633798023123j)	0.5100967884063721	1.33559
15	(-11.341729523575076+16.036010784376455j)	0.4672739505767822	1.43092
16	(-0.7579165976332569+0.1747004840118051j)	0.48151111602783203	1.52625
17	(-0.2556847182156554+18.171050121341338j)	0.4897480010986328	1.62157
18	(27.54573072277255-11.552553225067307j)	0.4744870662689209	1.7169
19	(-24.646286172489365-26.38182209118394j)	0.4988119602203369	1.81223
20	(-15.966271777889961+26.065228774588164j)	0.5503828525543213	1.90756
21	(14.038359464380168+3.046454822678588j)	0.527198076248169	2.00289
22	(-1.0767580141836353+3.36485614559351j)	0.46891117095947266	2.09821
23	(17.659841675689265-8.752272876641939j)	0.4847397804260254	2.19354
24	(-24.11092495408223-23.1071404172659j)	0.49643397331237793	2.28887
25	(-16.91070287080251+31.651627268847367j)	0.5017259120941162	2.3842
26	(26.23240818545273+3.8089097393798936j)	0.5092520713806152	2.47953
27	(-3.723412354218573-11.844107285236813j)	0.5592570304870605	2.57485
28	(4.717533051520466-2.873577005710578j)	0.5321178436279297	2.67018
29	(-18.625637234855397-15.778899535581113j)	0.7680628299713135	2.76551
30	(-14.584852132740505+31.252024066931597j)	0.782019853591919	2.86084
31	(33.26207016237522+2.7525244212803424j)	0.6354470252990723	2.95617
32	(-7.556554718428494-24.411939083438668j)	0.5231790542602539	3.05149
33	(-8.516698145945307+5.1641091819792j)	0.5205750465393066	3.14682
34	(-8.834582234302454-6.3462037656011745j)	0.5366711616516113	3.24215
35	(-10.147031909133396+24.58272792889376j)	0.49163007736206055	3.33748
36	(33.61942443079195+0.762763979924987j)	0.5466351509094238	3.43281
37	(-11.386378262288705-31.89305737857852j)	0.5449779033660889	3.52813
38	(-19.375412494765687+13.703588505435192j)	0.5152759552001953	3.62346
39	(3.543583801067383+2.9887210231402754j)	0.5391972064971924	3.71879
40	(-5.115202753684615+12.717902403160622j)	0.5898041725158691	3.81412
41	(27.18407371974298-0.9874235793550454j)	0.5182979106903076	3.90945
42	(-13.79169492158038-32.95691971311531j)	0.5998818874359131	4.00477
43	(-25.856519115573565+20.712645303055655j)	0.5768320560455322	4.1001
44	(16.04272769383624+10.283055785303933j)	0.6658768653869629	4.19543
45	(-0.9267258202508675-2.100050729294007j)	1.2843782901763916	4.29076
46	(15.257723937023298-1.4377011720616983j)	1.3046789169311523	4.38608
47	(-13.54389352373729-27.648080233924595j)	0.9620211124420166	4.48141
48	(-27.024921118856966+24.26955037673331j)	0.5557403564453125	4.57674
49	(25.9783028761645+14.291677195736103j)	0.6343612670898438	4.67207
50	(1.4501886543949651-16.91823148922363j)	0.5636789798736572	4.7674
51	(0.29001228911126764-0.005681483481054017j)	0.5741848945617676	4.86272
52	(-10.003326697719096-17.33312515631983j)	0.6215610504150391	4.95805
53	(-23.14325121310536+23.06748139862981j)	0.5903360843658447	5.05338
54	(31.053151708488375+14.691969185892805j)	0.5634920597076416	5.14871
55	(1.7499738377799599-28.70441465998932j)	0.6058268547058105	5.24404
56	(-14.66297927553016+3.2160031908505156j)	0.5472419261932373	5.33936
57	(-3.3760258907266567-4.351836422285994j)	0.6278328895568848	5.43469
58	(-15.533418773661605+16.79631177523932j)	0.5756227970123291	5.53002
59	(29.908717773896747+12.060608699328611j)	0.6013140678405762	5.62535
60	(0.4256889140529907-35.000777697933245j)	0.5498678684234619	5.72068
61	(-26.60033361865343+7.431544209452201j)	0.6196837425231934	5.816
62	(5.240047423448432+8.526434272134557j)	0.6351222991943359	5.91133
63	(-6.1896322203630225+6.309857377305268j)	0.5561079978942871	6.00666
64	(22.471104426583192+7.642469074176079j)	0.7630231380462646	6.10199
65	(-1.529723847601261-34.492029049367446j)	0.6559031009674072	6.19732
66	(-33.227974805239235+11.328051467855778j)	0.6025469303131104	6.29264
67	(14.045259686548114+18.723046000910486j)	0.5576777458190918	6.38797
68	(2.7269797390951362-6.494577038118202j)	0.5819082260131836	6.4833
69	(10.024930540638602+2.9462466219119032j)	0.6354720592498779	6.57863
70	(-2.933522978386395-27.271450121639965j)	0.6471872329711914	6.67396
