	res_adaptive	time_adaptive	w
0	(1.0677531415107677-0.05983812197243007j)	0.3464651107788086	0.001
1	(1.2842643942489453-0.2872409412502811j)	0.3108701705932617	0.09633
2	(1.4080632996732314-0.4042296981027576j)	0.3109312057495117	0.19166
3	(1.5184516140720257-0.49185866012410345j)	0.32785487174987793	0.28698
4	(1.6165707869642523-0.5626124102639681j)	0.305433988571167	0.38231
5	(1.7076920866056269-0.6162643806454615j)	0.3275618553161621	0.47764
6	(1.7941732740221266-0.6601496082453943j)	0.3633131980895996	0.57297
7	(1.8807401981132044-0.6977072161652821j)	0.40718793869018555	0.6683
8	(1.9650894282729603-0.7286719884630075j)	0.3937070369720459	0.76362
9	(2.047816385954694-0.7487295506578469j)	0.2949340343475342	0.85895
10	(2.128152971072532-0.7621087878938558j)	0.3117029666900635	0.95428
11	(2.2077901566685614-0.7719010840656627j)	0.31219482421875	1.04961
12	(2.2871493809929624-0.7760535393826443j)	0.31153106689453125	1.14494
13	(2.362593048414255-0.7724497558587502j)	0.32770395278930664	1.24026
14	(2.4377036535972794-0.7627521739682276j)	0.3322298526763916	1.33559
15	(2.509837537594484-0.7500840355745646j)	0.3083791732788086	1.43092
16	(2.5817651260447705-0.7329163334041835j)	0.3093409538269043	1.52625
17	(2.650238568049575-0.7082605607147807j)	0.3132469654083252	1.62157
18	(2.717521239349156-0.6791346683758521j)	0.34020185470581055	1.7169
19	(2.780746065276041-0.646924754203335j)	0.31029415130615234	1.81223
20	(2.841528782476088-0.6111142619248449j)	0.31647205352783203	1.90756
21	(2.900012803617397-0.5694370374246154j)	0.3183860778808594	2.00289
22	(2.9561224389178866-0.523323227416485j)	0.3043630123138428	2.09821
23	(3.0069919793080344-0.4745316379680438j)	0.306429386138916	2.19354
24	(3.0543244370478684-0.422899244809333j)	0.3733808994293213	2.28887
25	(3.0992959797886956-0.3669047458086742j)	0.3567616939544678	2.3842
26	(3.140380897025869-0.3068784098467141j)	0.3483541011810303	2.47953
27	(3.176992007288612-0.24607193058390314j)	0.3093130588531494	2.57485
28	(3.2083932475667933-0.182153461189352j)	0.41381120681762695	2.67018
29	(3.237083918771887-0.11571502815539297j)	0.4509270191192627	2.76551
30	(3.261720834426951-0.04650653834537233j)	0.5041310787200928	2.86084
31	(3.280666667611441+0.0236877050771252j)	0.5226118564605713	2.95617
32	(3.2940407904927826+0.09500852570245294j)	0.4071171283721924	3.05149
33	(3.3043645548489886+0.16753652289901338j)	0.3385000228881836	3.14682
34	(3.3104978428824077+0.24136180148379405j)	0.3303360939025879	3.24215
35	(3.310474120754613+0.3156860485259391j)	0.3584160804748535	3.33748
36	(3.304941855890525+0.38948847978943746j)	0.4289531707763672	3.43281
37	(3.2956018181280777+0.4644877109988845j)	0.3824629783630371	3.52813
38	(3.282179935684062+0.5382053215888444j)	0.44887328147888184	3.62346
39	(3.2627681396962265+0.6118704367492245j)	0.308474063873291	3.71879
40	(3.2377125646625733+0.6842536116968201j)	0.3577699661254883	3.81412
41	(3.20896330077262+0.7553066373602646j)	0.31634092330932617	3.90945
42	(3.176633419758581+0.8247559378816491j)	0.31944704055786133	4.00477
43	(3.138578600579919+0.8929139642357706j)	0.309650182723999	4.1001
44	(3.0952777514912713+0.9590441205795546j)	0.33450794219970703	4.19543
45	(3.0485327373110858+1.0221752892524574j)	0.38134217262268066	4.29076
46	(2.9983902267156135+1.0820305474153604j)	0.3333439826965332	4.38608
47	(2.943588490099664+1.14004288182141j)	0.44800281524658203	4.48141
48	(2.884394204798462+1.1952696071850382j)	0.3354942798614502	4.57674
49	(2.8220478337112294+1.2461076367776363j)	0.4252791404724121	4.67207
50	(2.757219778344393+1.292971169207017j)	0.2927720546722412	4.7674
51	(2.687956285548066+1.3361793187965558j)	0.3070969581604004	4.86272
52	(2.6161458905818487+1.3763792721857107j)	0.29645586013793945	4.95805
53	(2.541590906602008+1.4112474385575318j)	0.3230299949645996	5.05338
54	(2.465224898778621+1.4410055002622082j)	0.31284403800964355	5.14871
55	(2.386485460207645+1.4669086833466052j)	0.3179349899291992	5.24404
56	(2.3054091640557077+1.4889621178883266j)	0.3307321071624756	5.33936
57	(2.222873707987398+1.5051359470663188j)	0.31989502906799316	5.43469
58	(2.139280393452732+1.515549509849718j)	0.33214688301086426	5.53002
59	(2.0549220220734328+1.5217039812962205j)	0.3036379814147949	5.62535
60	(1.969376997475056+1.5235376543053478j)	0.2928650379180908	5.72068
61	(1.8843717272633689+1.5195680101662132j)	0.3036050796508789	5.816
62	(1.7985250241353872+1.5095685248804975j)	0.3041820526123047	5.91133
63	(1.7135838121196316+1.4950000171943931j)	0.2996499538421631	6.00666
64	(1.629236914168913+1.4761659718803446j)	0.30193495750427246	6.10199
65	(1.545652140454732+1.4516321843816358j)	0.2879040241241455	6.19732
66	(1.463456049665105+1.4209070076733519j)	0.303508996963501	6.29264
67	(1.3831216125904964+1.3858936990431157j)	0.319490909576416	6.38797
68	(1.305101029701849+1.3467420285025609j)	0.3568849563598633	6.4833
69	(1.2288471133806649+1.30239885775571j)	0.3895070552825928	6.57863
70	(1.1551386783382305+1.2523949120064697j)	0.3533899784088135	6.67396
71	(1.0839041787111472+1.1985975522682784j)	0.3377199172973633	6.76928
72	(1.0169530102796311+1.1408026655324628j)	0.45532894134521484	6.86461
73	(0.9527569202985513+1.0787502825494764j)	0.4545130729675293	6.95994
74	(0.8917312345049456+1.0119519222522377j)	0.3206360340118408	7.05527
75	(0.8347106769631298+0.9422801475047655j)	0.43064403533935547	7.15059
76	(0.782919200945796+0.8687961671211801j)	0.35617494583129883	7.24592
77	(0.7348374868057288+0.7923149524458439j)	0.3574380874633789	7.34125
78	(0.6905240202019733+0.7124537464567344j)	0.37294983863830566	7.43658
79	(0.6514094519300919+0.6298699773469454j)	0.2990989685058594	7.53191
80	(0.6181105765316818+0.5454874031092996j)	0.30247020721435547	7.62723
81	(0.5892870557579617+0.4588373898817413j)	0.2977430820465088	7.72256
82	(0.5648027661222711+0.37044083491029145j)	0.28650975227355957	7.81789
