	res_adaptive	time_adaptive	w
0	(1.0604520569405587-0.04730230887999115j)	0.4308931827545166	0.001
1	(1.1219247609185443-0.25175210341754023j)	0.40391087532043457	0.09633
2	(1.2312051521783156-0.40413497762092193j)	0.4212470054626465	0.19166
3	(1.3360608396937335-0.5185390685330966j)	0.4414517879486084	0.28698
4	(1.445354074037504-0.6123224153840446j)	0.3791191577911377	0.38231
5	(1.5623744281560992-0.6904240473426936j)	0.3894782066345215	0.47764
6	(1.6780030942436777-0.7461699361845918j)	0.405606746673584	0.57297
7	(1.800598305646204-0.7891618978719622j)	0.38220906257629395	0.6683
8	(1.9223189028341077-0.820378021814048j)	0.4046452045440674	0.76362
9	(2.044387487749167-0.8320361166249328j)	0.39402222633361816	0.85895
10	(2.1683463079151606-0.8304335823823393j)	0.36623477935791016	0.95428
11	(2.286358463420522-0.814218987513312j)	0.398543119430542	1.04961
12	(2.4042974717628964-0.7851695919079775j)	0.39739513397216797	1.14494
13	(2.515976800322492-0.7416144525945365j)	0.3835129737854004	1.24026
14	(2.625032908807336-0.6861948378474334j)	0.3630368709564209	1.33559
15	(2.7235157587099375-0.6181859677499801j)	0.3927643299102783	1.43092
16	(2.815396869930358-0.5396611566047399j)	0.40210795402526855	1.52625
17	(2.8984438903784078-0.4494806113744881j)	0.3684811592102051	1.62157
18	(2.9715616044458217-0.35007765858114726j)	0.38524603843688965	1.7169
19	(3.0323833800524214-0.24610730047095117j)	0.38694214820861816	1.81223
20	(3.0824102543294414-0.13217637538482796j)	0.369765043258667	1.90756
21	(3.118390312778728-0.01600316211891839j)	0.3627278804779053	2.00289
22	(3.1441568197745284+0.10621041917169871j)	0.40863585472106934	2.09821
23	(3.1551901819305264+0.2293562496759855j)	0.3607029914855957	2.19354
24	(3.154541154590199+0.3528453859363415j)	0.41785693168640137	2.28887
25	(3.1387967189527504+0.4775129224464138j)	0.4014139175415039	2.3842
26	(3.1125160310659736+0.5990084825094337j)	0.3729228973388672	2.47953
27	(3.0736241617481137+0.7161076728718065j)	0.372377872467041	2.57485
28	(3.022524493063868+0.8290327641152269j)	0.4100039005279541	2.67018
29	(2.9615143948092717+0.9377417943588731j)	0.37482404708862305	2.76551
30	(2.8894697522606907+1.0380814850290505j)	0.43642282485961914	2.86084
31	(2.809229286979319+1.1313644391639261j)	0.3989429473876953	2.95617
32	(2.721533536011303+1.2151571830175218j)	0.3851358890533447	3.05149
33	(2.6242133174861726+1.2911961940330883j)	0.3919830322265625	3.14682
34	(2.523947496575336+1.355913790758792j)	0.3820028305053711	3.24215
35	(2.4166876783470777+1.4120154180853912j)	0.38111376762390137	3.33748
36	(2.307488749669467+1.4567507058270193j)	0.37722206115722656	3.43281
37	(2.1938011894128633+1.4915558532716897j)	0.41176414489746094	3.52813
38	(2.078984862553194+1.516120902131833j)	0.38094520568847656	3.62346
39	(1.9648443040592758+1.5298832125339736j)	0.4313170909881592	3.71879
40	(1.850384466933752+1.5340608717782338j)	0.47101712226867676	3.81412
41	(1.7379819177723392+1.5276400943101778j)	0.38100290298461914	3.90945
42	(1.6278066977240038+1.5146697225735015j)	0.4254939556121826	4.00477
43	(1.5206779552800826+1.4906175224978537j)	0.4113941192626953	4.1001
44	(1.4174604066737446+1.459916252729713j)	0.39732813835144043	4.19543
45	(1.3188639275886131+1.420440046474741j)	0.3978691101074219	4.29076
46	(1.2240215554599345+1.3745582364158606j)	0.36193299293518066	4.38608
47	(1.135889759963924+1.324112352592474j)	0.3722038269042969	4.48141
48	(1.0512492343573623+1.2666931334852396j)	0.4264681339263916	4.57674
49	(0.9739980546302607+1.2050598418799368j)	0.4008901119232178	4.67207
50	(0.9005844091597708+1.138854595634403j)	0.38367390632629395	4.7674
51	(0.8341941705318165+1.068850933563964j)	0.3699910640716553	4.86272
52	(0.7734679122791965+0.9959327485005071j)	0.43999505043029785	4.95805
53	(0.718442816271033+0.9205372256224754j)	0.3780100345611572	5.05338
54	(0.6680837593931591+0.8425568950862874j)	0.3739140033721924	5.14871
55	(0.6236752961376947+0.7629142441922293j)	0.41057682037353516	5.24404
56	(0.5852277602019635+0.6819732108664841j)	0.37252092361450195	5.33936
57	(0.5505493761343488+0.5991811017237942j)	0.37610316276550293	5.43469
58	(0.5216873807574254+0.5156218596762049j)	0.3570878505706787	5.53002
59	(0.49657187258350144+0.4308621499211821j)	0.3747711181640625	5.62535
60	(0.4776329205378419+0.3454918419848407j)	0.38632702827453613	5.72068
61	(0.46307172974781424+0.2595922952599945j)	0.3652939796447754	5.816
62	(0.45286661219584795+0.17330248561136646j)	0.38960814476013184	5.91133
63	(0.4481737321836229+0.08470346915804775j)	0.3738839626312256	6.00666
64	(0.44730240434715485-0.0030031057923147336j)	0.384631872177124	6.10199
65	(0.4515591525088472-0.09123009428764924j)	0.3864021301269531	6.19732
66	(0.46099863796715956-0.18106982395031285j)	0.3470778465270996	6.29264
67	(0.4763261983680582-0.26918251678968796j)	0.3564732074737549	6.38797
68	(0.49617950677477174-0.35818819211380337j)	0.3445291519165039	6.4833
69	(0.5219117482259364-0.44739679653090036j)	0.37103724479675293	6.57863
70	(0.5547495620749424-0.5355541935727673j)	0.38386988639831543	6.67396
71	(0.5918943620674553-0.6226182508672097j)	0.38719701766967773	6.76928
72	(0.636464702391859-0.7086152444850251j)	0.3865532875061035	6.86461
73	(0.6876120290081369-0.7920423058655333j)	0.35779309272766113	6.95994
74	(0.7444558854237169-0.8745411500705758j)	0.37259411811828613	7.05527
75	(0.808251022891092-0.9537809519660194j)	0.3480830192565918	7.15059
76	(0.8794946896563601-1.0287775261549879j)	0.3659660816192627	7.24592
77	(0.9565142961602482-1.10033572753384j)	0.3841590881347656	7.34125
78	(1.0406622566442176-1.1657345134046313j)	0.39276695251464844	7.43658
79	(1.130894798125473-1.226463331452436j)	0.3753962516784668	7.53191
80	(1.2272846690802575-1.2808802991667212j)	0.3683791160583496	7.62723
81	(1.3293639939370534-1.3286262108864417j)	0.4208109378814697	7.72256
82	(1.4363024994699476-1.3676282858897353j)	0.3977499008178711	7.81789
83	(1.5471762248137535-1.3989292899965142j)	0.3731110095977783	7.91322
84	(1.6625722561943066-1.4208137223249988j)	0.3747599124908447	8.00855
85	(1.7811826887748263-1.433570145609616j)	0.3472919464111328	8.10387
86	(1.9007663662915912-1.4361191671014j)	0.3889782428741455	8.1992
87	(2.022005182307259-1.4281751911178902j)	0.37781381607055664	8.29453
88	(2.144198298222693-1.409579763287165j)	0.37156200408935547	8.38986
89	(2.2651479126748417-1.3809510028653085j)	0.364030122756958	8.48519
90	(2.383158797685308-1.3407352602014173j)	0.3977091312408447	8.58051
91	(2.499351039372041-1.289604571033941j)	0.3563671112060547	8.67584
92	(2.6107823900962046-1.2285820261900642j)	0.36742091178894043	8.77117
93	(2.717986072082595-1.1573090353974762j)	0.3607461452484131	8.8665
94	(2.818089849785467-1.0768046886905318j)	0.38533902168273926	8.96183
95	(2.910997096619254-0.9866191043433132j)	0.3498709201812744	9.05715
96	(2.996205217279033-0.8884279038008672j)	0.36408019065856934	9.15248
97	(3.0725283572270676-0.7818499047207907j)	0.37196898460388184	9.24781
98	(3.1388871151830755-0.6697701571445513j)	0.37142276763916016	9.34314
99	(3.19474241623026-0.5509695286281895j)	0.36957788467407227	9.43847
100	(3.24029419869471-0.42857991260346817j)	0.3528461456298828	9.53379
101	(3.2737162107663287-0.30251888388648984j)	0.3415658473968506	9.62912
102	(3.2963615874983594-0.17337581534599855j)	0.38817691802978516	9.72445
103	(3.306516740165913-0.04359705632743616j)	0.38360095024108887	9.81978
104	(3.3053102605523357+0.08648358020107638j)	0.356442928314209	9.9151
105	(3.2930984188447794+0.21482586870092724j)	0.3786449432373047	10.01043
106	(3.2689237118634025+0.34214308200508947j)	0.3526611328125	10.10576
107	(3.2347606592040634+0.46528210356016253j)	0.4010179042816162	10.20109
108	(3.188758709377134+0.5836302886071316j)	0.3510298728942871	10.29642
109	(3.1337066290376825+0.6975309724187279j)	0.40062594413757324	10.39174
110	(3.0690647968996454+0.8040713656131744j)	0.3760650157928467	10.48707
111	(2.9959708011837014+0.9047458048398985j)	0.387192964553833	10.5824
112	(2.915605098248085+0.9969837477187389j)	0.360274076461792	10.67773
113	(2.828681936063939+1.0817385893507607j)	0.360947847366333	10.77306
114	(2.7356043006274366+1.1573305340606324j)	0.36751484870910645	10.86838
115	(2.637497456638125+1.224304031588114j)	0.3840649127960205	10.96371
116	(2.5361919156018904+1.2814437093027935j)	0.38951992988586426	11.05904
117	(2.4316653596897013+1.330104104369033j)	0.3717367649078369	11.15437
118	(2.3251833905252863+1.3688174154610757j)	0.37247371673583984	11.2497
119	(2.2171795293866423+1.3980604439892237j)	0.36701011657714844	11.34502
120	(2.1092952359044763+1.4197055727488777j)	0.3625779151916504	11.44035
121	(2.0012846756609024+1.4319310149515776j)	0.3378632068634033	11.53568
122	(1.8954203125361497+1.436045350024148j)	0.34705591201782227	11.63101
123	(1.7905771269755095+1.4317362710182207j)	0.3585820198059082	11.72634
124	(1.6885670439506988+1.4202762988403186j)	0.4198646545410156	11.82166
125	(1.5887590260005433+1.4018813211315793j)	0.35024404525756836	11.91699
126	(1.4933377809373782+1.376270751189149j)	0.39253664016723633	12.01232
127	(1.4000743928847248+1.34499750656715j)	0.36430978775024414	12.10765
128	(1.3112715059058622+1.3087006652899922j)	0.41307997703552246	12.20298
129	(1.2264622527608129+1.2666521559862673j)	0.36613917350769043	12.2983
130	(1.1458107253967165+1.22006885876725j)	0.33570027351379395	12.39363
131	(1.0691592825271867+1.1693091983220982j)	0.34665799140930176	12.48896
132	(0.9963362119097658+1.1151193480155177j)	0.3627657890319824	12.58429
133	(0.9286088769157657+1.0571413657468998j)	0.40325403213500977	12.67961
134	(0.8649945680131014+0.995453351957567j)	0.38608598709106445	12.77494
135	(0.8049141238590997+0.9312412612581543j)	0.33098697662353516	12.87027
136	(0.7494578078432668+0.8634322868951299j)	0.36725926399230957	12.9656
137	(0.6975721955324452+0.7940263651632067j)	0.3384089469909668	13.06093
138	(0.6494018348904447+0.7217463207273542j)	0.3609280586242676	13.15625
139	(0.6058930458153601+0.646395552650699j)	0.33719587326049805	13.25158
140	(0.5666831930536489+0.5695210439084677j)	0.3665909767150879	13.34691
141	(0.5312085419103031+0.48997709663211836j)	0.3678882122039795	13.44224
142	(0.5005973601704293+0.40847950924278026j)	0.376431941986084	13.53757
143	(0.4737565134129529+0.3235242230260581j)	0.3887598514556885	13.63289
144	(0.45195408942358245+0.23779144102388172j)	0.3660118579864502	13.72822
145	(0.43475795315079124+0.14925665226477638j)	0.3637270927429199	13.82355
146	(0.4233581121735522+0.05936971248330003j)	0.33788490295410156	13.91888
147	(0.4168072567423894-0.03298395275474916j)	0.3473830223083496	14.01421
148	(0.41660656657142403-0.12671235523285704j)	0.35539984703063965	14.10953
149	(0.42254464356096133-0.2218317556516825j)	0.34946107864379883	14.20486
150	(0.4340924815164474-0.3174359150133472j)	0.36522507667541504	14.30019
151	(0.45324744679043005-0.41424883243247984j)	0.3715221881866455	14.39552
152	(0.47908174931404224-0.510367069594765j)	0.35760998725891113	14.49085
153	(0.512896706080233-0.6066416036880217j)	0.34573793411254883	14.58617
154	(0.553312397249947-0.701890979553668j)	0.36467719078063965	14.6815
155	(0.6023069137223226-0.7953309296707577j)	0.34687066078186035	14.77683
156	(0.6582253668646674-0.8864912971541338j)	0.34731101989746094	14.87216
157	(0.7220527197426019-0.9740302194645535j)	0.3596220016479492	14.96749
158	(0.7947975056141414-1.0579694723222548j)	0.35801172256469727	15.06281
159	(0.8743784609501524-1.1369816223807145j)	0.3515281677246094	15.15814
160	(0.9619529716034503-1.2110415327815125j)	0.4132359027862549	15.25347
161	(1.0560992112119951-1.2780200520261296j)	0.3687272071838379	15.3488
162	(1.15683874215389-1.3384282940300223j)	0.3414957523345947	15.44412
163	(1.2636079457105192-1.3909110325048177j)	0.3402070999145508	15.53945
164	(1.3764212490052223-1.4343050921115355j)	0.3338968753814697	15.63478
165	(1.4934924082271863-1.4691158069575239j)	0.370023250579834	15.73011
166	(1.6144125443946327-1.4929285155553824j)	0.3507261276245117	15.82544
