	res_adaptive	time_adaptive	w
0	(0.996730040122776+0.0022392755221834104j)	0.44692277908325195	0.001
1	(1.1579515234342828-0.31983263462131095j)	0.4683840274810791	0.09633
2	(1.3070306050233447-0.5154022489345829j)	0.5014700889587402	0.19166
3	(1.4661392636018968-0.6608287281512152j)	0.56461501121521	0.28698
4	(1.632690183464501-0.7690564856362041j)	0.4690430164337158	0.38231
5	(1.8049471421089107-0.8432426568002593j)	0.4492049217224121	0.47764
6	(1.971359456985649-0.8870231445926541j)	0.41033506393432617	0.57297
7	(2.1565315408285635-0.8948254039395825j)	0.447131872177124	0.6683
8	(2.3256757046451684-0.8806636025100467j)	0.40086793899536133	0.76362
9	(2.487324161996789-0.833173604515483j)	0.40915417671203613	0.85895
10	(2.6339415913219777-0.767401878109505j)	0.4752678871154785	0.95428
11	(2.7659499941035826-0.677246366007448j)	0.49317097663879395	1.04961
12	(2.8782444067217594-0.5714038216732247j)	0.48763585090637207	1.14494
13	(2.9719705297430408-0.45419243096466083j)	0.427962064743042	1.24026
14	(3.0449097940670105-0.32980463635933577j)	0.4009277820587158	1.33559
15	(3.098615539019858-0.19810347047483756j)	0.4918191432952881	1.43092
16	(3.13552427077673-0.06631395449882302j)	0.45241880416870117	1.52625
17	(3.1537710339485443+0.06464136736673379j)	0.45603132247924805	1.62157
18	(3.1593433526316956+0.19213405130752723j)	0.4343860149383545	1.7169
19	(3.150971046687703+0.3173144157369581j)	0.3966200351715088	1.81223
20	(3.1307515572992717+0.43639806549371485j)	0.43927502632141113	1.90756
21	(3.1023811721876733+0.5501336293333026j)	0.4109938144683838	2.00289
22	(3.065953290878529+0.6599188939328078j)	0.4574429988861084	2.09821
23	(3.023674815915128+0.7661536127027292j)	0.42857909202575684	2.19354
24	(2.9721637579511464+0.8697583756172407j)	0.408034086227417	2.28887
25	(2.9150938764614933+0.9697884299169959j)	0.41712379455566406	2.3842
26	(2.848216513391899+1.0663278456049163j)	0.39574289321899414	2.47953
27	(2.7748646350361925+1.1622416948906584j)	0.378709077835083	2.57485
28	(2.6898634179881094+1.2539396614798282j)	0.3908700942993164	2.67018
29	(2.5954628512278664+1.3413480996556624j)	0.3858070373535156	2.76551
30	(2.4875285136932246+1.421274286880144j)	0.3762040138244629	2.86084
31	(2.3700044143400625+1.4935159627889267j)	0.3898451328277588	2.95617
32	(2.2406553109776692+1.556748867567476j)	0.3718132972717285	3.05149
33	(2.1030380514279994+1.6050877880091787j)	0.3614966869354248	3.14682
34	(1.9552823326919808+1.638717657547216j)	0.4239039421081543	3.24215
35	(1.802960094111325+1.6551540667986748j)	0.3939521312713623	3.33748
