	res_adaptive	time_adaptive	w
0	(1.0514297185019545-0.004796176250307792j)	0.39307689666748047	0.001
1	(1.2842643942543617-0.287240941253398j)	0.3037431240081787	0.09633
2	(1.4080632996752067-0.4042296981033361j)	0.4082491397857666	0.19166
3	(1.518451614058715-0.49185866012128293j)	0.3662731647491455	0.28698
4	(1.6165707869642834-0.562612410263899j)	0.39378809928894043	0.38231
5	(1.7076920866058116-0.6162643806455943j)	0.42429375648498535	0.47764
6	(1.7941732740222487-0.6601496082455773j)	0.2959861755371094	0.57297
7	(1.879866556424204-0.6989750388444067j)	0.33237504959106445	0.6683
8	(1.965089428273028-0.7286719884629491j)	0.2889871597290039	0.76362
9	(2.047816385955024-0.7487295506576988j)	0.28793811798095703	0.85895
10	(2.1281529710727325-0.7621087878936385j)	0.2876410484313965	0.95428
11	(2.207790156669178-0.7719010840658633j)	0.28705406188964844	1.04961
12	(2.287149380992504-0.7760535393637568j)	0.28581714630126953	1.14494
13	(2.362593048414318-0.7724497558587865j)	0.28568506240844727	1.24026
14	(2.43770365359674-0.7627521739681967j)	0.2913849353790283	1.33559
15	(2.5103646237117285-0.7500500487763947j)	0.29740476608276367	1.43092
16	(2.5817651260447074-0.7329163334041099j)	0.29872918128967285	1.52625
17	(2.6502385680495726-0.7082605607149323j)	0.3035130500793457	1.62157
18	(2.717521239349084-0.6791346683759282j)	0.29456281661987305	1.7169
19	(2.7807460652764813-0.6469247542033871j)	0.2919480800628662	1.81223
20	(2.8415287824760442-0.6111142619249237j)	0.29415011405944824	1.90756
21	(2.9000128036176296-0.5694370374250501j)	0.29255127906799316	2.00289
22	(2.9561224389255147-0.5233232274395588j)	0.30289721488952637	2.09821
23	(3.006991979307995-0.4745316379680435j)	0.2940700054168701	2.19354
24	(3.0543244414852286-0.42289928772501306j)	0.2929728031158447	2.28887
25	(3.0992959797885353-0.36690474580896165j)	0.2912309169769287	2.3842
26	(3.1403808970259957-0.3068784098471609j)	0.29369688034057617	2.47953
27	(3.176992007288419-0.2460719305836161j)	0.2903130054473877	2.57485
28	(3.208393248604078-0.1821534697794005j)	0.29674482345581055	2.67018
29	(3.2370839187719946-0.1157150281560641j)	0.3041951656341553	2.76551
30	(3.2617208344265713-0.046506538344930015j)	0.3111460208892822	2.86084
31	(3.280666667611845+0.02368770507622514j)	0.3007333278656006	2.95617
32	(3.2940407904927813+0.09500852570172713j)	0.291705846786499	3.05149
33	(3.3043645548489753+0.1675365228991595j)	0.30935025215148926	3.14682
34	(3.3104978428822993+0.24136180148375286j)	0.28702211380004883	3.24215
35	(3.310474120754718+0.315686048526097j)	0.29084181785583496	3.33748
36	(3.304941855890355+0.389488479789462j)	0.3072171211242676	3.43281
37	(3.295601818127633+0.46448771099891606j)	0.2977027893066406	3.52813
38	(3.2821799356826444+0.5382053215885848j)	0.2874619960784912	3.62346
39	(3.262768139695421+0.6118704367501903j)	0.2906031608581543	3.71879
40	(3.2377125646628304+0.6842536116957321j)	0.3052518367767334	3.81412
41	(3.2089633007714196+0.7553066373601209j)	0.2899501323699951	3.90945
42	(3.1766334197583794+0.8247559378819378j)	0.2949490547180176	4.00477
43	(3.138578600579837+0.8929139642356083j)	0.28759312629699707	4.1001
44	(3.0952777514914374+0.9590441205797138j)	0.28769803047180176	4.19543
45	(3.048532737311419+1.0221752892523561j)	0.2899949550628662	4.29076
46	(2.9983902267156046+1.082030547415343j)	0.2904469966888428	4.38608
47	(2.943588490099644+1.1400428818214707j)	0.35631728172302246	4.48141
48	(2.884394204798408+1.1952696071841313j)	0.3439512252807617	4.57674
49	(2.822047833712587+1.2461076367754413j)	0.29482388496398926	4.67207
50	(2.7572197783442185+1.2929711692070534j)	0.28700995445251465	4.7674
51	(2.687956285537702+1.336179318792028j)	0.2941601276397705	4.86272
52	(2.6161458905808663+1.3763792721851196j)	0.3103671073913574	4.95805
53	(2.5415909066012223+1.4112474385566087j)	0.3013279438018799	5.05338
54	(2.465235724791207+1.4410080557018556j)	0.3236532211303711	5.14871
55	(2.386485460205735+1.466908683344554j)	0.29606103897094727	5.24404
56	(2.3054091640560017+1.4889621178895827j)	0.28789186477661133	5.33936
57	(2.222873707987328+1.5051359470674743j)	0.28837013244628906	5.43469
58	(2.13928039345286+1.5155495098496248j)	0.28878211975097656	5.53002
59	(2.054922022073315+1.5217039812966018j)	0.31132960319519043	5.62535
60	(1.9693769974772033+1.523537654300565j)	0.3976480960845947	5.72068
61	(1.8843717272611278+1.5195680101661053j)	0.5149838924407959	5.816
62	(1.7985250241356525+1.5095685248806516j)	0.4506678581237793	5.91133
63	(1.7135838121183602+1.495000017194313j)	0.36980628967285156	6.00666
64	(1.6292369141680996+1.4761659718764975j)	0.33130598068237305	6.10199
65	(1.5456521404531243+1.451632184387101j)	0.34014010429382324	6.19732
66	(1.4634560496653741+1.420907007674523j)	0.3223559856414795	6.29264
67	(1.3831216125913803+1.385893699040935j)	0.31972408294677734	6.38797
68	(1.3051010296707706+1.3467420284824894j)	0.32297515869140625	6.4833
69	(1.22879857103129+1.302384071899323j)	0.36679506301879883	6.57863
70	(1.1551386783401385+1.2523949120060414j)	0.42975521087646484	6.67396
71	(1.083904177322822+1.1985975515684748j)	0.3379511833190918	6.76928
72	(1.016953010283828+1.1408026655478238j)	0.32765626907348633	6.86461
73	(0.9527569202979238+1.0787502825469786j)	0.3363759517669678	6.95994
74	(0.8917312344978474+1.0119519222511753j)	0.32157278060913086	7.05527
75	(0.8347106769639103+0.9422801475077609j)	0.3116729259490967	7.15059
76	(0.782919200944314+0.8687961671227444j)	0.312514066696167	7.24592
77	(0.7348374868107248+0.7923149524354521j)	0.3240499496459961	7.34125
78	(0.6905240202055191+0.712453746456116j)	0.34168004989624023	7.43658
79	(0.6514094519250799+0.6298699773664873j)	0.4632411003112793	7.53191
80	(0.618110576533486+0.5454874031119639j)	0.44008302688598633	7.62723
81	(0.5892870557521975+0.4588373898769055j)	0.45548534393310547	7.72256
82	(0.5648027661096027+0.37044083490227586j)	0.31942296028137207	7.81789
83	(0.5460245124523943+0.2803227348846508j)	0.36655569076538086	7.91322
84	(0.5334938899288854+0.18944372455979372j)	0.3771178722381592	8.00855
85	(0.5261082660564959+0.09721023098822822j)	0.4770498275756836	8.10387
